,Time_s,Ext_Disp_mm,Force_N,Globe_Disp_1_mm,Globe_Disp_2_mm,Stress_Mpa,Strain_mm/mm,DerivitiveForce,AveragedSamples
17,1.7,0.000908,15.548254,0.338468,1.584855,3.0463476948999784,0.01061693851944793,19.283549499999996,
18,1.8,0.004494,16.607484,0.387339,1.836203,3.253881149709046,0.012149905897114179,,
19,1.9,0.003591,18.269226,0.409954,1.956496,3.579463939340504,0.012859284818067755,,
20,2.0,-0.001712,21.111306,0.456112,2.189083,4.136308705107858,0.01430715181932246,,
21,2.1,0.005458,23.181085,0.466059,2.234083,4.541837614373322,0.014619165621079048,,
22,2.2,-0.001771,25.328299,0.502883,2.205894,4.962538255059856,0.015774247176913427,,24.0141785
23,2.3,-0.000823,26.436024,0.548958,1.898058,5.179573267501322,0.017219510664993724,,
24,2.4,0.000805,24.661018,0.568287,1.675368,4.831798820509806,0.01782581555834379,,
25,2.5,-0.002869,18.382934,0.557963,1.402924,3.6017425890005677,0.01750197616060226,,
26,2.6,-0.005478,17.679525,0.557419,1.253361,3.463924645859049,0.0174849121706399,,
27,2.7,0.004587,16.524883,0.542747,0.97465,3.237697251121691,0.017024686323713928,9.199231999999995,
28,2.8,-0.00829,19.077045,0.530119,0.670672,3.7377387879856574,0.01662857590966123,,
29,2.9,-0.01414,24.922587,0.507892,0.46643,4.88304766942926,0.01593136762860728,,
30,3.0,-0.003079,28.726213,0.480377,0.123389,5.628286800289974,0.015068287327478043,,
31,3.1,-0.000764,31.471475,0.487964,0.101063,6.166162150512354,0.015306273525721456,,
32,3.2,-0.001135,35.25257,0.487203,-0.063399,6.906986814004976,0.015282402760351317,,33.213410499999995
33,3.3,0.002987,37.403384,0.502403,-0.209895,7.328392797664531,0.015759190715181934,,
34,3.4,-0.009981,41.542813,0.498156,-0.322582,8.139425341405591,0.015625972396486824,,
35,3.5,-0.00414,44.527977,0.509614,-0.240711,8.724304355492858,0.01598538268506901,,
