,index,Time_s,Ext_Disp_mm,Force_N,Globe_Disp_1_mm,Globe_Disp_2_mm,Stress_Mpa,Strain_mm/mm,DerivitiveForce,AveragedSamples,Ext_Strain_mm/mm
0,27,2.7,-0.002671,17.823745,0.296729,0.782502,3.1897036453766168,0.008929551609990974,-4.358655750000004,,
1,28,2.8,-0.0037,16.070673,0.30409,0.833092,2.875977200737307,0.009151068311766477,,,
2,29,2.9,0.002698,15.787592,0.304636,0.78756,2.8253175611589327,0.00916749924766777,,,
3,30,3.0,-0.000205,17.688391,0.302397,0.817229,3.1654809499096257,0.009100120373156788,,,
4,31,3.1,-0.000803,19.446557,0.306537,0.840208,3.480119007140428,0.009224706590430336,,,
5,32,3.2,-0.006284,22.476968,0.339177,0.81692,4.022435619821399,0.010206951549804395,,20.822526999999997,
6,33,3.3,0.008126,23.678192,0.331309,0.679639,4.237404391631919,0.00997017755040626,,,
7,34,3.4,-0.003872,26.668546,0.379034,0.60161,4.772552479464557,0.01140637977730966,,,
8,35,3.5,0.002175,30.644329,0.436238,0.60176,5.484051074643426,0.013127836292506773,,,
9,36,3.6,0.002477,34.299339,0.5289,0.756056,6.138144741316058,0.015916340656033708,,,
10,37,3.7,-0.00077,34.63985,0.651211,0.995335,6.199081944916695,0.01959708095094794,67.48844650000001,,
11,38,3.8,0.002265,36.542728,0.78704,1.364916,6.539617387569569,0.023684622329220584,,,6.81613000300933e-05
12,39,3.9,-0.00377,50.515621,0.830505,1.49737,9.040179852896436,0.024992627144146858,,,0.00011345170027083962
13,40,4.0,-0.000745,65.307376,0.835985,1.517722,11.687284310742855,0.025157538368943726,,,2.241950045139934e-05
14,41,4.1,0.002846,81.176731,0.816972,1.453973,14.527234023515096,0.0245853746614505,,,8.564550105326513e-05
15,42,4.2,0.003287,96.524713,0.83687,1.414805,17.273879811736073,0.02518417092988264,,88.3109735,9.891664158892568e-05
16,43,4.3,0.010164,110.235074,0.858237,1.501789,19.727460047602854,0.02582717424014445,,,0.0003058681913933193
17,44,4.4,0.005062,126.566999,0.882129,1.434906,22.650190411424685,0.02654616310562745,,,0.00015233222991272946
18,45,4.5,-0.002897,145.107178,0.911057,1.358483,25.96810572844897,0.027416701775504065,,,8.71802588022871e-05
19,46,4.6,0.004393,163.250543,0.942383,1.181052,29.21500796363571,0.02835940415287391,,,0.00013219981944026483
20,47,4.7,0.011283,179.980694,0.967515,0.917182,32.209004098140625,0.02911570869696058,168.03794350000004,,0.0003395425820042131
21,48,4.8,0.010999,200.026431,1.011237,0.645157,35.796351223178654,0.030431447487210352,,,0.00033099608787240446
22,49,4.9,0.010921,212.99162,1.03559,0.582545,38.116576889350206,0.031164309359012942,,,0.00032864881131507677
23,50,5.0,0.012128,230.349296,1.059565,0.627552,41.22287370926466,0.031885795967499256,,,0.00036497141137526335
24,51,5.1,0.019091,244.227438,1.091051,0.778469,43.706479715098695,0.032833313271140536,,,0.0005745109840505568
25,52,5.2,0.013116,263.099463,1.136179,0.853208,47.08378156373593,0.03419136322600061,,256.34891700000003,0.0003947035811014144
26,53,5.3,0.014238,287.719471,1.164222,0.865723,51.489731562841136,0.035035269334938314,,,0.00042846825157989775
27,54,5.4,0.022718,311.475555,1.226902,0.977243,55.74107535925839,0.03692151670177551,,,0.0006836593439662955
28,55,5.5,0.015016,332.16826,1.269123,1.01665,59.44420265215912,0.03819208546494132,,,0.00045188083057478185
29,56,5.6,0.012789,352.666583,1.296048,1.010675,63.112543710517365,0.03900234727655733,,,0.0003848630755341559
30,57,5.7,0.024752,374.628116,1.337035,1.051655,67.04273805902038,0.040235780920854655,230.36231424999994,,0.0007448690941919952
31,58,5.8,0.02086,400.772976,1.356317,0.985675,71.72157268383472,0.040816039723141746,,,0.0006277460126391816
32,59,5.9,0.022954,425.108457,1.403847,1.047703,76.0766042699404,0.042246373758651826,,,0.0006907613602166717
33,60,6.0,0.023472,447.251356,1.447482,1.100367,80.03925553427942,0.0435594944327415,,,0.0007063496840204635
34,61,6.1,0.027437,471.783135,1.481043,1.115397,84.42941623865853,0.04456945531146555,,,0.0008256695756846224
35,62,6.2,0.019644,500.310332,1.504164,1.043485,89.53458938062599,0.04526524225097804,,486.71123124999997,0.0005911525729762263
36,63,6.3,0.035893,527.500102,1.55176,1.103867,94.40041911988402,0.04669756244357509,,,0.001080138429130304
37,64,6.4,0.024484,558.808065,1.607514,1.0848,100.00323287818323,0.048375383689437265,,,0.0007368040926873308
38,65,6.5,0.028528,580.971277,1.617377,0.995827,103.96951931852753,0.04867219380078243,,,0.0008585013541980139
39,66,6.6,0.035015,606.007236,1.654348,1.017538,108.44990712074303,0.04978477279566657,,,0.001053716521215769
40,67,6.7,0.040731,636.250674,1.690967,1.009589,113.86221550135113,0.05088675895275355,283.34668875,,0.0012257297622630156
41,68,6.8,0.039563,667.492218,1.730181,1.06285,119.45314304121405,0.05206683719530545,,,0.0011905808004814928
42,69,6.9,0.048499,698.793896,1.760099,1.011069,125.0548320478176,0.052967168221486616,,,0.0014594944327414989
43,70,7.0,0.059696,730.231211,1.789811,0.981794,130.6807943950321,0.0538613000300933,,,0.001796448991874812
44,71,7.1,0.06418,763.833066,1.839575,1.013788,136.69411872080747,0.05535886247366838,,,0.0019313873006319593
45,72,7.2,0.076124,785.86835,1.853244,0.996534,140.63751140857923,0.05577020764369546,,770.05792,0.0022908215467950647
46,73,7.3,0.080008,800.299053,1.890959,0.968832,143.22000268437156,0.05690517604574181,,,0.0024077038820343065
47,74,7.4,0.084783,816.289095,1.918621,0.889662,146.08155031407145,0.05773761661149564,,,0.002551399337947638
48,75,7.5,0.109671,836.491002,1.962837,0.977006,149.69684532650905,0.05906822148660849,,,0.0033003611194703584
49,76,7.6,0.127346,843.736214,2.001878,0.994804,150.99343474292667,0.06024309359012941,,,0.003832260006018658
50,77,7.7,0.15353,845.387599,2.042343,1.002193,151.2889634746506,0.06146081853746614,94.08691150000013,,
51,78,7.8,0.170937,848.511472,2.069398,0.959158,151.84800586982587,0.062274992476677705,,,
