,Time_s,Ext_Disp_mm,Force_N,Globe_Disp_1_mm,Globe_Disp_2_mm,Stress_Mpa,Strain_mm/mm,DerivitiveForce,AveragedSamples
27,2.7,0.006688,67.985365,0.449443,0.843942,12.313512461059192,0.013118593111500293,142.94412275,
28,2.8,0.010279,87.97951,0.48035,0.906176,15.934852930522352,0.014020723876240515,,
29,2.9,0.005201,106.026695,0.483544,0.914594,19.20355991451134,0.01411395213076474,,
30,3.0,0.003636,125.003282,0.496402,0.859027,22.640600231833663,0.014489258610624636,,
31,3.1,0.002704,148.254352,0.519486,0.79024,26.851835108309793,0.0151630472854641,,
32,3.2,0.016659,171.146514,0.542586,0.6956,30.998064551184527,0.015837302977232928,,159.54618875
33,3.3,0.010531,193.780607,0.56325,0.534565,35.09755252481345,0.016440455341506132,,
34,3.4,0.010749,216.795367,0.598626,0.471266,39.26598692313266,0.017473029772329247,,
35,3.5,0.015651,239.10806,0.650813,0.514706,43.30726291385931,0.018996293053123177,,
36,3.6,0.013932,265.592766,0.678805,0.596418,48.10417409258857,0.019813339171044952,,
37,3.7,0.017706,297.013194,0.712681,0.770396,53.79504346881113,0.020802130764740225,263.57893175000004,
38,3.8,0.017019,330.547761,0.763237,0.821034,59.86882579873941,0.022277787507297142,,
39,3.9,0.009888,356.424721,0.775581,0.85542,64.55566199376948,0.022638091068301225,,
40,4.0,0.017279,379.253439,0.826784,0.954604,68.69040045642252,0.02413263280793929,,
41,4.1,0.024762,404.558986,0.854007,0.977736,73.27374230239803,0.02492723292469352,,
42,4.2,0.024723,438.012488,0.902459,1.037573,79.33284213576759,0.026341476941039114,,423.12512050000004
43,4.3,0.019803,470.675569,0.959021,1.157453,85.24878088096791,0.027992440163455926,,
44,4.4,0.019201,504.283486,0.991377,1.148669,91.33584836629718,0.028936865148861648,,
45,4.5,0.033918,532.117576,1.007169,1.038786,96.37716003767298,0.029397810858143608,,
46,4.6,0.031705,557.081481,1.0481,1.078488,100.89862366876768,0.030592527729130185,,
47,4.7,0.030482,583.304889,1.067974,1.033045,105.6482085416214,0.031172621132516055,305.55078424999994,
48,4.8,0.038027,611.806269,1.104173,0.992487,110.81037980873725,0.03222921774664332,,
49,4.9,0.036352,645.632368,1.150125,1.090823,116.93696442802292,0.03357049036777584,,
50,5.0,0.042441,675.72459,1.191667,1.063841,122.3872690719409,0.03478304144775248,,
