,Time_s,Ext_Disp_mm,Force_N,Globe_Disp_1_mm,Globe_Disp_2_mm,Stress_Mpa,Strain_mm/mm
0,0.0,0.004144,2.431344,-0.011986,-0.016799,0.4324311249444198,0.00035005841121495324
1,0.1,-8.054569e-05,1.4428114285714286,-0.011908571428571428,-0.020132,0.1829293019119609,0.00034214369158878504
2,0.2,-0.002287,0.5918178775510206,-0.004969836734693877,0.025158,0.2731286794130725,0.0003614778037383178
3,0.3,-0.00657,0.39774391253644326,-0.004412740524781341,-0.050531,0.015551978657180972,8.820093457943924e-05
4,0.4,0.003624,0.6000222232403166,-0.0049373860891295295,-0.027808,0.19665949310804803,0.00018250584112149533
5,0.5,0.006786,0.7103998737430832,-0.0005095614922353783,0.053337,0.17542801244997777,0.00030841121495327103
6,0.6,-0.004764,0.4635530526736309,0.0032743132198318724,-0.021795,0.027312405513561587,0.0003719042056074766
7,0.7,0.00097,-0.45920924809026364,0.005521938014165623,0.00518,0.4919724321920854,0.00032537967289719623
8,0.8,-0.001639,-0.01632574863590258,0.00787224143868973,0.04269,0.19402098710538018,0.000401518691588785
9,0.9,-0.006168,-0.340734963311359,0.008759886741921236,0.042445,0.20484802134281904,0.00032064836448598126
10,1.0,0.000919,0.01923302620617212,0.007648776244229455,0.048975,0.16347763450422412,0.00014226051401869158
11,1.1,0.000913,-0.07408383842416276,0.008254554460163896,0.066027,0.05466891951978657,0.0002853095794392523
12,1.2,-0.002201,0.7418598296970265,0.008050110328688496,-0.012096,0.4947477100933748,0.00022018107476635512
13,1.3,-0.002871,1.2263601640693045,0.012325793091920355,0.069094,0.43354575366829706,0.0006721670560747663
14,1.4,0.002865,1.4235875457637888,0.016789566494228823,0.099158,0.3408903512672299,0.0008162675233644859
15,1.5,0.00161,1.4738268184027064,0.024922833210163444,0.105449,0.28446865273454874,0.0013217289719626166
16,1.6,0.001084,1.4756194417162187,0.029033452292973886,0.075969,0.2632460649177413,0.001148072429906542
17,1.7,-0.002089,1.5270378869401562,0.035725323066409916,0.119162,0.2944569141840818,0.0015319801401869157
18,1.8,0.001049,1.9675947763858257,0.0495978021902928,0.208384,0.5458402845709204,0.0024614193925233644
19,1.9,-0.002719,2.9106742688470186,0.062229287278780576,0.236178,0.9370160960426858,0.0027397196261682243
20,2.0,0.001866,4.004463906319299,0.06578491948484327,0.207773,1.1985661182747889,0.0021808995327102804
21,2.1,-0.00532,4.770902218799499,0.07148094248917376,0.22206,1.1893282347710095,0.0025035338785046727
22,2.2,0.000337,5.924187584856785,0.07531810177798126,0.220381,1.5664563806136063,0.002479877336448598
23,2.3,0.001116,7.403162846326275,0.07636035841284375,0.168378,1.9743176522899066,0.0023062499999999997
24,2.4,-0.000219,8.761161461661626,0.07915939886631697,0.173242,2.162055669186305,0.002516267523364486
25,2.5,0.00173,10.459051044044017,0.0766647134759407,0.072185,2.6151667407736774,0.002056892523364486
26,2.6,-0.003197,11.801633602888582,0.07403079533995764,0.083784,2.6959697643397065,0.001969801401869159
27,2.7,0.003565,11.991021144920415,0.07453113952854118,0.073642,2.216894619831036,0.0022132593457943927
28,2.8,0.000561,11.620800246371726,0.07200224252038656,-0.055215,1.9022228546020454,0.0019182242990654205
29,2.9,0.003263,10.812827890265519,0.0729773160859904,-0.051122,1.563876745220098,0.002202540887850467
30,3.0,-0.002282,11.8808324930468,0.06695008291856457,-0.075858,2.5879669186305025,0.0015152453271028035
31,3.1,0.006485,12.998060066462,0.06763663065611754,-0.044524,2.8085600711427303,0.0020254964953271026
32,3.2,-0.006616,14.52195519033,0.06341502189722681,-0.085981,3.2604167185415744,0.0015438376168224297
33,3.3,0.003934,16.266303707378572,0.04536215849801915,-0.228411,3.6686838594931084,6.717289719626168e-06
34,3.4,0.013193,18.006028076698982,0.02817125607001368,-0.295403,3.976049622054247,0.0004324182242990654
35,3.5,0.004427,19.946692626213558,-0.0008951028071330844,-0.413163,4.410556514006225,0.002148393691588785
36,3.6,0.005123,22.206753304438255,-0.03344993057652363,-0.528422,4.954540684748777,0.0033538843457943924
37,3.7,-0.002267,25.66386236031304,-0.06957909326894544,-0.685176,6.101669186305025,0.004670035046728972
38,3.8,0.008764,29.18284797165217,-0.11108763804924673,-0.810717,6.755057714539795,0.0062750876168224294
39,3.9,-0.000477,32.945342836894405,-0.1596843128923191,-1.03759,7.532517563361494,0.008211915887850467
40,4.0,0.001918,37.498758883496,-0.19763079492308505,-0.99719,8.694050511338373,0.008542552570093457
41,4.1,0.001856,43.86593463106857,-0.24759513923077503,-1.288078,10.632970031124945,0.010879264018691588
42,4.2,-0.003209,51.85527159362041,-0.2986599565934107,-1.399337,12.775209248554914,0.012450992990654204
43,4.3,-0.001893,60.04847799544315,-0.3438905404238648,-1.326126,14.323075855935972,0.0133459988317757
44,4.4,0.007031,69.39222971103082,-0.3935009574456177,-1.466886,16.496506714095155,0.015114690420560746
45,4.5,-0.001414,79.06466179359344,-0.43994154103258404,-1.414964,18.362959893285907,0.01623957359813084
46,4.6,-0.003362,90.52941585256674,-0.4859588150232743,-1.418903,21.198986393952868,0.017552628504672898
47,4.7,0.006423,102.0842344661191,-0.5324900107309102,-1.431712,23.29413623832815,0.0189491238317757
48,4.8,0.015103,114.13553033294221,-0.5780037219506502,-1.397795,25.65829613161405,0.020204088785046728
49,4.9,-0.003114,126.52159023781587,-0.6222772299647501,-1.317294,28.01009159626501,0.02140657126168224
50,5.0,0.00474,140.09372502701132,-0.6668711642605358,-1.415167,30.95136718541574,0.02273235981308411
51,5.1,-0.000637,153.9474410192938,-0.7156139744718113,-1.357126,33.540547976878614,0.02445884929906542
52,5.2,0.006001,169.09784387092412,-0.7702522674798652,-1.40298,36.811712049799915,0.02648504672897196
53,5.3,0.012621,185.0657264792315,-0.821950762485618,-1.4494,40.01519484215207,0.027780286214953268
54,5.4,0.011162,201.4136723423082,-0.8729674017754414,-1.408749,43.091780702534464,0.029220473130841123
55,5.5,0.010239,217.47603738736302,-0.9198338584110296,-1.404407,45.82160071142731,0.030286214953271023
56,5.6,0.012352,234.1781729909736,-0.9663684702935926,-1.406805,49.0766584259671,0.031621057242990656
57,5.7,0.01588,252.2601401364097,-1.0153874787811377,-1.421486,52.906190840373505,0.03323408294392523
58,5.8,0.018129,272.0864843831498,-1.0718336277008127,-1.519217,57.208064917741225,0.03542491238317757
59,5.9,0.018368,292.2248614165356,-1.126446876929152,-1.544838,60.92855562472211,0.03688609813084112
60,6.0,0.022264,312.1030390118111,-1.1744777692351085,-1.514111,64.3483295686972,0.037808265186915886
61,6.1,0.025867,332.7103452941508,-1.2291141208822203,-1.54099,68.33768092485549,0.0398862441588785
62,6.2,0.018438,354.430451495822,-1.2858280863444431,-1.51755,72.69554771009338,0.04169430490654205
63,6.3,0.023415,375.63024592558713,-1.3494197759603166,-1.630552,76.23472334370832,0.04405370911214953
64,6.4,0.020593,397.3286653754194,-1.4044801256859403,-1.577938,80.31564499777679,0.045038872663551395
65,6.5,0.016766,419.9803558395853,-1.4532383754899574,-1.570447,84.76826714095154,0.0460027453271028
66,6.6,0.018559,443.8494138854181,-1.5117368396356838,-1.678058,89.55483485993776,0.04842240070093458
67,6.7,0.023761,466.6292884895844,-1.5708114568826312,-1.693328,93.1220942641174,0.05018977803738318
68,6.8,0.021238,487.0308674925603,-1.6275476120590222,-1.628567,95.6931640729213,0.05167605140186916
69,6.9,0.026825,504.8371990661145,-1.6778911514707302,-1.589017,97.70618550466875,0.0526796144859813
70,7.0,0.043766,519.6505036186533,-1.7253342510505214,-1.596296,99.01000711427302,0.05385344626168224
71,7.1,0.050934,531.0876091561809,-1.769559322178944,-1.507416,99.54297429968877,0.05491010514018691
72,7.2,0.086257,538.8560119687006,-1.8125263729849599,-1.441588,99.29337821253891,0.0560731308411215
73,7.3,0.109183,544.974335691929,-1.8496691235606857,-1.270672,99.64786927523343,0.05673265186915887
74,7.4,0.147558,550.4442849228064,-1.890814516829061,-1.322661,100.33244250778124,0.05822657710280374
75,7.5,0.178868,554.437075230576,-1.9288666548779008,-1.311939,100.38578052467764,0.059112061915887845
76,7.6,0.199583,561.2386448789829,-1.9698893249127862,-1.210756,102.84438755002223,0.060527044392523356
77,7.7,0.222249,567.4731949135592,-2.0125518035091328,-1.175015,103.70112405513562,0.06189275700934579
78,7.8,0.24132,574.4687029382566,-2.052762431077952,-1.123359,105.28367683414852,0.06288811331775701
79,7.9,0.260718,580.5080652416118,-2.0993503079128226,-1.196626,105.93267603379282,0.0647143691588785
