,index,Time_s,Ext_Disp_mm,Force_N,Globe_Disp_1_mm,Globe_Disp_2_mm,Stress_Mpa,Strain_mm/mm,DerivitiveForce,AveragedSamples,Ext_Strain_mm/mm
0,7,0.7,-0.026398,-0.6511062304178411,-0.0013474144920180243,0.015219,0.026813817805841734,5.1770956316410854e-05,4.33824924371992,,
1,8,0.8,-0.033367,-0.726081307441315,-0.0025155817800128744,-0.009656,0.1686641926073631,0.00016044864226682408,,,
2,9,0.9,-0.030752,-0.11246036245808216,-0.0061474155571520535,-0.046237,0.26247036667774454,0.00044943919716646983,,,
3,10,1.0,-0.028909,1.103273455387084,-0.0028015825408228955,0.020699,0.7648550644363207,0.00016419716646989374,,,
4,11,1.1,-0.033806,2.90114789670506,-0.004913701814873496,-0.048617,1.365502381743658,0.0003008854781582054,,,
5,12,1.2,-0.028972,3.600381640503614,-0.0060206441534810685,-0.042635,0.9874941841143238,0.0002593860684769776,,3.039942183953156,
6,13,1.3,-0.018344,4.554965743216867,-0.012888745823915047,-0.064943,1.2816044459214948,0.0008872195985832348,,,
7,14,1.4,-0.027488,5.742335530869191,-0.026719675588510745,-0.1904,1.6082788671023966,0.0018092384887839431,,,
8,15,1.5,-0.023338,7.632953664906564,-0.05130091113465053,-0.345905,2.2819502603301207,0.0033280401416765047,,,
9,16,1.6,-0.021841,8.528820617790403,-0.08816093652475038,-0.486485,1.9881998449097154,0.005322048406139315,,,
10,17,1.7,-0.018524,11.052821298421716,-0.12597581180339312,-0.642985,3.205720431298696,0.0065086481700118055,23.44068213342908,,
11,18,1.8,-0.026134,15.241211498872655,-0.17184415128813796,-0.828788,4.7472742882463725,0.008456759149940969,,,0.0007713695395513577
12,19,1.9,-0.022042,15.76298335633761,-0.20925582234866996,-0.849878,3.1511785015324394,0.00893698347107438,,,0.0006505903187721369
13,20,2.0,-0.027524,18.238677825955435,-0.2332530159633357,-0.873419,4.510157305860197,0.00865543093270366,,,0.000812396694214876
14,21,2.1,-0.029307,22.578032447111028,-0.25414158283095406,-0.878073,6.17156290388095,0.009042591499409681,,,0.0008650236127508854
15,22,2.2,-0.022682,28.49511974793645,-0.2719554163078243,-0.9077,7.99228942801226,0.009341499409681228,,26.480624317382237,0.0006694805194805194
16,23,2.3,-0.025082,36.610667248526035,-0.2841918687913031,-0.841152,10.505434806691039,0.009291115702479338,,,0.0007403187721369539
17,24,2.4,-0.025928,46.67518003466145,-0.28990847770807365,-0.723769,13.263258742291644,0.00897874852420307,,,0.000765289256198347
18,25,2.5,-0.02516,57.787118596186744,-0.30743291264862405,-0.703718,15.798339241534656,0.010367296340023612,,,0.000742621015348288
19,26,2.6,-0.017519,72.12208214013339,-0.3411100804633029,-0.722375,19.932700232635426,0.012553217237308146,,,0.0005170897284533648
20,27,2.7,-0.014747,86.81706810009527,-0.3860354860452163,-0.823554,22.81203297514863,0.014709238488783942,153.58320140504333,,0.00043527154663518296
21,28,2.8,-0.013187,102.84981607149662,-0.43550106146086887,-0.80401,26.38966175547432,0.01650427981109799,,,0.0003892266824085006
22,29,2.9,-0.015092,122.15453576535472,-0.5014601867577635,-1.055266,31.464187991580815,0.019668181818181817,,,0.00044545454545454543
23,30,3.0,-0.014241,144.83774183239623,-0.582888704826974,-1.446709,37.21165337321369,0.02321310507674144,,,0.00042033648170011805
24,31,3.1,-0.009797,168.59178759456873,-0.6595125034478386,-1.600506,42.09166980539862,0.025120188902007082,,,0.0002891676505312869
25,32,3.2,-0.001559,192.65907485326338,-0.7353452167484562,-1.79365,46.67982958531812,0.02730008854781582,,180.06382572242555,4.601534828807556e-05
26,33,3.3,0.020491,214.16669860947385,-0.802486011963183,-1.926447,49.469324987998974,0.02864043683589138,,,0.0006048110979929161
27,34,3.4,0.060793,230.9398515781956,-0.8709600085451308,-2.167719,50.38084524205162,0.030759887839433293,,,0.001794362455726092
28,35,3.5,0.098285,245.08574369871113,-0.9387451489608076,-2.231485,51.77993316347254,0.03270979929161747,,,0.0029009740259740256
29,36,3.6,0.132223,257.7944266419365,-1.0135173921148626,-2.28637,53.462969240426865,0.0354323494687131,,,0.003902685950413223
30,37,3.7,0.160564,268.6005596013832,-1.0844915657963305,-2.253562,54.57994387208744,0.03724695985832349,127.3040441113927,,0.004739197166469894
31,38,3.8,0.196477,278.574600000988,-1.1503099755688075,-2.228131,56.03738802112182,0.03880920897284534,,,0.005799203069657615
32,39,3.9,0.225928,288.0054234292772,-1.2167896968348626,-2.131461,57.52787600162476,0.04082021841794569,,,0.006668476977567886
33,40,4.0,0.252224,296.04414359234084,-1.282437212024902,-1.946404,58.36951072707802,0.042696458087367176,,,0.007444628099173553
34,41,4.1,0.299533,303.85714399452917,-1.3533325800177871,-2.006935,59.70784775303718,0.045176239669421484,,,0.008840997638724911
35,42,4.2,0.324707,311.5450108532351,-1.4161492714412764,-1.909467,61.06950961929028,0.04643420897284533,,307.36786983381825,0.009584031877213696
36,43,4.3,0.364274,318.0251808951679,-1.4872111938866261,-2.047825,61.70850522506555,0.049140082644628096,,,0.010751889020070836
37,44,4.4,0.403283,325.05385121083424,-1.556151424204733,-2.031308,63.25939348620804,0.051018358913813455,,,0.011903276269185359
38,45,4.5,0.440343,331.12576800773877,-1.6300641601462378,-2.086552,63.93884273106607,0.05356688311688311,,,0.012997136953955135
39,46,4.6,0.480221,337.150780291242,-1.6988321143901697,-1.980321,65.02959842694139,0.05521700118063754,,,0.014174173553719008
40,47,4.7,0.494852,342.72497020802996,-1.7625689388501211,-1.946418,65.85067851999557,0.05672700708382526,58.209537253856354,,0.014606021251475797
41,48,4.8,0.516361,347.60833329145,-1.812406099178658,-1.840108,66.4334295262361,0.05717234356552538,,,0.015240879574970482
42,49,4.9,0.550186,352.6360680653214,-1.868139785127613,-1.840313,67.42834551899855,0.05925247933884298,,,0.016239256198347103
43,50,5.0,0.5796,357.95002718951525,-1.926351275091152,-1.850441,68.54158358258557,0.06115348288075561,,,0.017107438016528923
44,51,5.1,0.61073,362.6313094210823,-1.9852357679222514,-1.778838,69.11386488682102,0.06294117473435655,,,0.018026269185360093
45,52,5.2,0.643718,368.0736250150588,-2.0404352628016085,-1.787121,70.46996307374174,0.06429852420306965,,365.5774070876746,0.018999940968122787
46,53,5.3,0.679076,373.65466672504203,-2.094194330572577,-1.670756,71.56443096636019,0.06577898465171192,,,0.020043565525383705
