,index,Time_s,Ext_Disp_mm,Force_N,Globe_Disp_1_mm,Globe_Disp_2_mm,Stress_Mpa,Strain_mm/mm,DerivitiveForce,AveragedSamples,Ext_Strain_mm/mm
0,27,2.7,-0.005242,-1.2657001207356222,-0.002850587642515698,-0.007078,0.8444778773652014,9.603220241518114e-06,-0.17977729906546475,,
1,28,2.8,-0.011253,-1.3496666576683016,-0.004167848316082641,-0.03267,0.5546959026888605,0.00021451983898792407,,,
2,29,2.9,-0.007745,-1.7673853269059296,-0.004104177368630458,0.007964,1.0000291648883197,0.00011342725704427832,,,
3,30,3.0,-0.010362,-1.6291043763613782,-0.00452155526330747,-0.01019,0.456466780480865,0.00016000575043128234,,,
4,31,3.1,-0.010697,-1.5313608402581274,-0.004473396616648193,0.045917,0.45774719021197896,0.00012515813686026452,,,
5,32,3.2,-0.007147,-1.192812314470091,-0.0006338547261772803,0.015385,0.12321845212690284,0.00025776308223116734,,-0.5421899389277726,
6,33,3.3,-0.010888,2.1845177753785063,0.004815818052730515,0.105196,3.7799982216531514,0.0005301897642323174,,,
7,34,3.4,-0.007313,7.533648696698933,0.00715701289480751,0.0653,7.435793142694552,0.00037406555491661876,,,
8,35,3.5,-0.004314,13.872346211927809,0.012841294924862506,0.097006,10.570170009958744,0.0007778033352501437,,,
9,36,3.6,0.000827,20.430459294234147,0.02287835351775893,0.217326,13.09778844785887,0.001379269695227142,,,
10,37,3.7,-0.002002,27.062288924452965,0.028475395369827808,0.163941,15.522073908095036,0.001221046578493387,61.06944172029497,,
11,38,3.8,0.002347,34.780281517466406,0.042810710978448435,0.341609,19.232914710485133,0.0022613283496262216,,,6.748131109833237e-05
12,39,3.9,0.004579,42.43801594104743,0.05650593641317746,0.360454,21.902956323801394,0.002609085681426107,,,0.0001316561242093157
13,40,4.0,0.000321,50.35476252931959,0.07522509743798389,0.504052,24.94900732678902,0.0035084243818286373,,,9.229442208165613e-06
14,41,4.1,0.007233,57.36201037808542,0.1010344981699885,0.657115,26.63256864418836,0.004760149511213341,,,0.00020796434732604945
15,42,4.2,0.007187,63.810331127203874,0.11900207012142036,0.618472,28.429055697823305,0.004713082231167337,,60.5272517813672,0.00020664174813110983
16,43,4.3,0.007366,70.58190309085991,0.1417737643724431,0.696701,31.124922819746768,0.00571313973548016,,,0.00021178838412880965
17,44,4.4,0.006454,77.02130306489994,0.1667752602660308,0.840028,33.11986164461517,0.0065922656699252445,,,0.0001855664174813111
18,45,4.5,0.01045,84.26083876064281,0.19189861447573628,0.897856,36.40620216246977,0.007323375503162737,,,0.00030046003450258764
19,46,4.6,-0.000983,89.51283311474486,0.21958558176838305,0.937756,36.50690674349125,0.008303709028177113,,,2.826336975273145e-05
20,47,4.7,0.005996,88.14758593910348,0.24982570126313075,1.115363,30.137454829990045,0.009356699252443933,52.66253950680883,,0.00017239792984473834
21,48,4.8,-0.003157,89.5812376707882,0.2844880723308077,1.145991,33.136067363778636,0.010671190339275445,,,9.077055779183438e-05
22,49,4.9,0.003012,95.25068262199156,0.32044690880771975,1.25709,38.918870038412294,0.011798274870615296,,,8.66014951121334e-05
23,50,5.0,-0.00634,102.36889158713683,0.35851036343408554,1.294108,42.73880139422393,0.013043962047153536,,,0.0001822886716503738
24,51,5.1,-0.00381,108.56486341938346,0.3981085453100611,1.307451,44.12249004125765,0.014292811960897066,,,0.00010954571592869465
25,52,5.2,0.00165,116.33116358527391,0.4321778180786151,1.378662,48.28101934841372,0.014874956871765382,,113.18979128817602,4.744105807935595e-05
26,53,5.3,-0.000623,125.49424656090994,0.47073672719901083,1.45433,52.78202944942382,0.01630632547441058,,,1.7912593444508338e-05
27,54,5.4,0.003195,134.98480640064997,0.5040522337135791,1.40867,56.44871461089771,0.016887320299022426,,,9.186313973548016e-05
28,55,5.5,-0.004342,142.95233371474998,0.5360444526525565,1.411608,57.92827998292787,0.017712047153536515,,,0.00012484186313973549
29,56,5.6,0.005213,148.89745893910714,0.5711246090375404,1.459085,58.244512732963436,0.018942639447958595,,,0.00014988499137435306
30,57,5.7,0.001267,154.28511752793366,0.6069781493125288,1.448849,59.665053350405465,0.020029097182288673,79.27295227894024,,3.642898217366302e-05
31,58,5.8,-0.007094,163.40215623423833,0.6470235352232349,1.483343,66.22377045098877,0.021481799884991375,,,0.00020396779758481885
32,59,5.9,-0.004107,173.24336502445595,0.6754425251594535,1.324058,70.3678997723716,0.021463197239792984,,,0.00011808510638297873
33,60,6.0,0.000106,183.59918244603998,0.7093055179710381,1.340472,74.5087231469626,0.022828148361127083,,,3.0477285796434732e-06
34,61,6.1,-0.003189,193.92563146145713,0.7481733699793129,1.364549,78.15541115379143,0.024305434157561815,,,9.169062679700977e-05
35,62,6.2,-0.002058,195.22317704389795,0.7837078356995092,1.388419,70.58864738938682,0.025087521564117306,,192.46274356711626,5.9171937895342146e-05
36,63,6.3,-0.000453,197.10298331706997,0.8249975969282208,1.421501,71.77496763408736,0.02668838412880966,,,1.3024726854514088e-05
37,64,6.4,0.000489,201.72152522647855,0.8677291406630149,1.516203,75.85285246834543,0.028020644048303622,,,1.4059804485336399e-05
38,65,6.5,0.008551,209.6375443046275,0.900840243330725,1.452355,81.60036705078959,0.028281138585393904,,,0.0002458596894767107
39,66,6.6,-0.00217,218.32917078901966,0.9357330309505179,1.429307,85.38136185801679,0.029412449683726277,,,6.239217941345601e-05
40,67,6.7,0.001239,227.46918742072836,0.9741970221075127,1.466926,89.03088241570637,0.03077507188039103,89.61767978513251,,
41,68,6.8,-0.000527,237.8127544433774,1.0127301586482234,1.421916,93.77993740219092,0.03188795284646348,,,
42,69,6.9,0.00337,249.77683974526957,1.0525103990344453,1.585983,99.47611786882914,0.03312136285221391,,,
43,70,7.0,0.002477,262.01203896090686,1.093677142167461,1.5892,104.06887074975103,0.034404657849338695,,,
44,71,7.1,-0.005901,274.24604497207633,1.132627672976758,1.508402,108.4190709916062,0.035365267395054634,,,
45,72,7.2,-0.000292,288.41619069434023,1.1657574806976843,1.485879,115.18052176696544,0.03589942495687177,,282.0804233522488,
46,73,7.3,-0.002371,303.6474187816716,1.204870200498346,1.469555,121.54128930146535,0.03745405405405405,,,
47,74,7.4,-0.003725,319.86519455833684,1.2385441432131044,1.370115,128.1866673780054,0.038031311098332375,,,
48,75,7.5,-0.002515,334.46527154166915,1.277913530866503,1.53839,131.94105278133446,0.03957265669925244,,,
49,76,7.6,-0.001944,348.4359539583351,1.3109290934760736,1.456071,136.35035566936975,0.040065209890741804,,,
225,252,25.2,0.080217,893.392758477893,3.212477787467746,1.263682,324.7724484279414,0.09517656699252444,,889.063187614813,
226,253,25.3,0.079103,900.6226900556379,3.24548299104839,1.281652,326.7525675771803,0.09568706152961472,,,
