,Time_s,Ext_Disp_mm,Force_N,Globe_Disp_1_mm,Globe_Disp_2_mm,Stress_Mpa,Strain_mm/mm
69,6.9,0.046494,668.616324,1.744362,1.640303,270.14800969696967,0.05079679673849737
70,7.0,0.061554,681.997977,1.800789,1.784332,275.55473818181815,0.052439982527664526
71,7.1,0.065126,693.598118,1.861397,1.760017,280.24166383838383,0.054204921374490386
72,7.2,0.069488,702.485754,1.893387,1.627197,283.8326278787879,0.055136488060570754
73,7.3,0.079133,711.625864,1.922816,1.642366,287.5256016161616,0.0559934769947583
74,7.4,0.09576,715.453048,1.947701,1.555388,289.07193858585856,0.05671814210832847
75,7.5,0.107903,722.87906,1.986515,1.623625,292.07234747474746,0.0578484274898078
76,7.6,0.123485,732.024889,2.016106,1.585915,295.7676319191919,0.058710133954571926
77,7.7,0.131853,740.69353,2.076402,1.659404,299.2701131313131,0.06046598718695398
78,7.8,0.154593,740.379559,2.090468,1.445571,299.14325616161614,0.060875596971461846
79,7.9,0.172128,743.81535,2.135574,1.540054,300.5314545454545,0.062189108910891085
80,8.0,0.180021,747.677925,2.17341,1.473485,302.09209090909087,0.0632909143855562
81,8.1,0.194082,756.577715,2.193566,1.294542,305.68796565656567,0.0638778683750728
82,8.2,0.220554,764.522427,2.221456,1.293987,308.8979503030303,0.06469004076878275
83,8.3,0.238411,766.514026,2.261073,1.328828,309.7026367676767,0.06584370995923121
84,8.4,0.252936,769.829113,2.283729,1.326135,311.04206585858583,0.06650346534653465
85,8.5,0.282169,771.369652,2.319973,1.303013,311.6645058585858,0.0675589108910891
86,8.6,0.307892,777.315891,2.345815,1.306509,314.06702666666666,0.06831144437973208
87,8.7,0.324065,775.594187,2.358214,1.106841,313.37138868686867,0.06867251019219568
88,8.8,0.342521,782.843027,2.396623,1.202374,316.3002129292929,0.06979100174723354
89,8.9,0.353893,787.447305,2.412742,1.094062,318.1605272727273,0.07026039603960396
90,9.0,0.363065,793.9397,2.44594,1.067647,320.78371717171717,0.07122714036109493
91,9.1,0.385685,803.716914,2.461869,1.064701,324.73410666666666,0.07169100174723354
92,9.2,0.393304,811.406575,2.50795,1.116877,327.84104040404037,0.07303290623179964
93,9.3,0.411119,819.330431,2.52862,1.055287,331.04259838383837,0.07363482818870122
94,9.4,0.427546,827.207458,2.577631,1.147014,334.2252355555555,0.07506205591147348
95,9.5,0.440578,829.564881,2.598958,1.102317,335.17772969696966,0.07568311007571345
96,9.6,0.454324,840.592194,2.654677,1.203856,339.6332096969697,0.07730567850902736
97,9.7,0.467667,847.788713,2.669179,1.23159,342.5408941414141,0.07772798485730925
98,9.8,0.48442,851.460903,2.687557,1.141756,344.0246072727273,0.07826316249271985
99,9.9,0.497123,859.153725,2.732333,1.249654,347.13281818181815,0.07956706464764123
100,10.0,0.513884,864.001297,2.754674,1.214275,349.0914331313131,0.08021764705882352
101,10.1,0.528794,867.823293,2.787094,1.270689,350.63567393939394,0.08116173558532323
102,10.2,0.535199,875.319231,2.829133,1.271308,353.6643357575757,0.08238593476994757
103,10.3,0.547726,877.285515,2.840983,1.224588,354.45879393939396,0.08273101339545719
104,10.4,0.566243,880.573238,2.874076,1.169649,355.7871668686868,0.08369470005824112
105,10.5,0.570988,886.027641,2.898655,1.169357,357.99096606060607,0.08441045428072219
106,10.6,0.590514,893.970319,2.909526,1.017155,361.20012888888886,0.08472702387885847
107,10.7,0.611208,896.575273,2.937164,1.042712,362.25263555555557,0.08553185789167152
108,10.8,0.612547,895.647848,2.967122,1.091987,361.87791838383833,0.08640425160163073
109,10.9,0.630526,896.388626,2.978246,0.9758,362.1772226262626,0.08672818870122305
110,11.0,0.638079,899.024953,2.995312,0.952614,363.24240525252526,0.08722516016307513
111,11.1,0.645781,886.479743,3.022773,0.924944,358.17363353535353,0.08802483983692486
112,11.2,0.652992,876.799645,3.068432,0.936124,354.2624828282828,0.08935445544554455
113,11.3,0.649707,874.653674,3.084403,0.962216,353.39542383838386,0.08981953989516597
114,11.4,0.649,870.728816,3.086029,0.835075,351.80962262626264,0.08986688992428654
115,11.5,0.648462,867.21637,3.077007,0.705607,350.3904525252525,0.0896041642399534
116,11.6,0.652535,864.454689,3.076011,0.650304,349.2746218181818,0.08957516016307512
117,11.7,0.645685,863.584196,3.074551,0.546211,348.9229074747475,0.0895326441467676
118,11.8,0.643598,864.030155,3.084021,0.469578,349.1030929292929,0.08980841584158415
119,11.9,0.638064,861.660153,3.086337,0.421944,348.1455163636364,0.08987585905649387
120,12.0,0.628376,862.773232,3.086206,0.355005,348.5952452525252,0.08987204426324984
121,12.1,0.584906,857.511754,3.08502,0.251673,346.46939555555554,0.08983750728013977
122,12.2,0.623348,858.89602,3.082548,0.067588,347.02869494949493,0.08976552125800814
123,12.3,0.567053,859.350626,3.091418,0.022911,347.21237414141416,0.09002382061735584
124,12.4,-0.575942,857.865071,3.102415,0.06253,346.61214989898986,0.09034405940594059
125,12.5,-2.446129,857.050066,3.090201,0.054549,346.28285494949495,0.08998838089691322
126,12.6,-2.722288,855.445891,3.089996,0.053651,345.6347034343434,0.08998241118229469
127,12.7,-3.059639,857.932268,3.083558,0.03177,346.6393002020202,0.08979493302271403
128,12.8,-3.272775,853.126637,3.099634,0.061979,344.6976311111111,0.09026307513104251
129,12.9,-3.460474,853.117726,3.090931,0.021246,344.6940307070707,0.09000963890506697
130,13.0,-3.635362,853.812361,3.089225,0.017683,344.9746913131313,0.08995995923121723
131,13.1,-3.501822,852.506611,3.076931,-0.032868,344.44711555555557,0.08960195107746068
132,13.2,-2.597896,852.405242,3.096017,0.043627,344.4061583838384,0.09015774606872451
133,13.3,-2.426435,850.004256,3.094227,0.017812,343.43606303030305,0.09010562026790914
134,13.4,-2.29055,851.615162,3.093823,-0.035663,344.08693414141413,0.09009385556202679
135,13.5,-2.023012,852.633567,3.096472,0.028479,344.49841090909086,0.09017099592312171
136,13.6,-1.74175,851.853476,3.103366,0.051405,344.1832226262626,0.0903717530576587
137,13.7,-1.659621,851.723298,3.096136,0.051215,344.13062545454545,0.09016121141525917
138,13.8,-1.579266,851.65199,3.10163,0.006572,344.10181414141414,0.09032119976703552
139,13.9,-1.957623,851.047366,3.090895,-0.001885,343.8575216161616,0.09000859056493885
140,14.0,-2.77839,849.847857,3.09437,0.015719,343.3728715151515,0.09010978450786254
141,14.1,-4.928399,852.093799,3.115769,0.152988,344.2803228282828,0.09073293535235875
142,14.2,-4.031994,851.777245,3.094865,0.004638,344.1524222222222,0.09012419918462433
143,14.3,-4.079007,852.101113,3.099044,0.016415,344.283277979798,0.09024589400116481
144,14.4,-3.858464,850.512894,3.087928,-0.022409,343.6415733333333,0.08992218986604542
145,14.5,-3.8462,850.378583,3.097743,-0.003024,343.58730626262627,0.09020800815375654
146,14.6,-3.878537,850.644297,3.091361,-0.04046,343.6946654545455,0.0900221607454863
147,14.7,-3.879685,849.40122,3.091485,-0.015646,343.1924121212121,0.09002577169481653
148,14.8,-3.849635,848.968671,3.098094,-0.01597,343.01764484848485,0.09021822947000582
149,14.9,-3.834713,851.04101,3.117265,0.100271,343.85495353535356,0.09077649970879441
150,15.0,-3.848858,847.46452,3.109324,0.058989,342.40990707070705,0.09054525334886429
151,15.1,-2.988641,848.650973,3.091828,-0.090881,342.889282020202,0.09003576004659289
152,15.2,-2.315857,847.808761,3.097431,0.004105,342.54899434343434,0.09019892253931273
153,15.3,-1.964339,848.583161,3.107901,0.032009,342.86188323232324,0.09050381479324403
154,15.4,-1.764469,849.087369,3.111375,0.092779,343.0656036363636,0.09060497961560861
155,15.5,-1.680866,847.414929,3.087161,-0.034156,342.3898703030303,0.08989985439720442
156,15.6,-1.578133,847.786527,3.089045,-0.017626,342.5400109090909,0.08995471753057659
157,15.7,-2.063845,847.721306,3.088251,-0.008336,342.513658989899,0.08993159580663948
158,15.8,-3.268829,849.900737,3.100205,0.007902,343.3942371717172,0.09027970297029701
159,15.9,-3.290527,849.746686,3.102142,-0.053816,343.3319943434343,0.09033610949330227
160,16.0,-2.981409,847.952557,3.089081,-0.08337,342.6070937373737,0.08995576587070471
161,16.1,-1.455949,849.994908,3.102822,0.043655,343.43228606060603,0.09035591147350029
162,16.2,0.976569,848.321579,3.099338,0.007971,342.75619353535353,0.09025445544554454
163,16.3,0.964208,847.452935,3.092352,-0.060859,342.4052262626263,0.09005101921956901
164,16.4,1.938089,849.335674,3.116674,0.02279,343.1659288888889,0.0907592894583576
165,16.5,1.766719,848.893806,3.085717,-0.003564,342.9873963636364,0.08985780430984273
166,16.6,0.527378,850.07909,3.079415,-0.039787,343.466298989899,0.08967428654630168
167,16.7,-2.284989,848.963273,3.110591,0.083814,343.0154638383838,0.09058214909726266
168,16.8,-3.331833,849.87829,3.0833,-0.057491,343.38516767676765,0.08978741991846242
169,16.9,-3.41473,848.480244,3.098172,-0.025838,342.8203006060606,0.09022050087361676
170,17.0,-3.202884,847.710608,3.088861,0.008492,342.50933656565655,0.08994935934769947
171,17.1,-3.174901,846.049206,3.096114,-0.037338,341.83806303030303,0.09016057076295864
172,17.2,-3.208409,847.276708,3.110038,0.044984,342.3340234343434,0.0905660454280722
173,17.3,0.70083,845.572041,3.109534,0.074335,341.6452690909091,0.09055136866627839
174,17.4,0.382858,844.237526,3.109297,-0.030177,341.1060711111111,0.09054446709376819
175,17.5,0.284702,848.061543,3.093567,0.018955,342.65112848484847,0.09008640069889341
