,index,Time_s,Ext_Disp_mm,Force_N,Globe_Disp_1_mm,Globe_Disp_2_mm,Stress_Mpa,Strain_mm/mm,DerivitiveForce,AveragedSamples,Ext_Strain_mm/mm
0,17,1.7,0.002126,5.109154,-0.01277,-0.036763,1.8037613415710503,0.0003636104783599089,13.60375875,,
1,18,1.8,-0.009298,11.797215,-0.003461,0.029134,4.164947925860547,9.854783599088839e-05,,,
2,19,1.9,-0.000206,8.8404,-0.03625,-0.075536,3.121059135039718,0.0010321753986332575,,,
3,20,2.0,-0.000402,7.862662,-0.113353,-0.420146,2.7758736098852603,0.0032275911161731207,,,
4,21,2.1,0.003285,13.521086,-0.148634,-0.598411,4.7735519858782,0.004232175398633257,,,
5,22,2.2,0.010692,19.540146,-0.237245,-0.907178,6.898551103265667,0.006755267653758543,,17.685376750000003,
6,23,2.3,0.010224,29.817613,-0.270543,-1.021281,10.526959576345984,0.007703388382687927,,,
7,24,2.4,0.007205,38.575693,-0.264748,-0.97917,13.618956045895851,0.007538382687927107,,,
8,25,2.5,0.016392,50.969972,-0.256973,-1.043889,17.99469443954104,0.007316998861047837,,,
9,26,2.6,0.006981,59.635254,-0.241126,-0.944632,21.05392903795234,0.0068657744874715265,,,
10,27,2.7,0.017139,71.100872,-0.224233,-0.833504,25.10180829655781,0.006384766514806378,115.12836075,,
11,28,2.8,0.017926,81.141214,-0.20531,-0.787352,28.646500970873788,0.005845956719817768,,,0.0005104214123006834
12,29,2.9,0.019896,93.917263,-0.215888,-0.725936,33.1570213592233,0.006147152619589978,,,0.0005665148063781322
13,30,3.0,0.014144,111.121267,-0.167287,-0.225566,39.23080917917034,0.004763297266514806,,,0.0004027334851936219
14,31,3.1,0.021689,128.255286,-0.149729,-0.006578,45.279889143865844,0.004263354214123007,,,0.0006175683371298406
15,32,3.2,0.023085,141.116122,-0.132203,0.390258,49.820343159752866,0.0037643223234624145,,132.8137375,0.0006573177676537586
16,33,3.3,0.021232,150.762275,-0.095283,0.681557,53.2258693733451,0.002713069476082005,,,0.0006045558086560366
17,34,3.4,0.025697,162.109063,-0.078014,0.741032,57.23179629302736,0.002221355353075171,,,0.0007316913439635536
18,35,3.5,0.029423,175.560726,-0.052762,0.800647,61.98083883495145,0.001502334851936219,,,0.0008377847380410024
19,36,3.6,0.025887,187.634941,-0.057522,0.720607,66.24358022947926,0.001637870159453303,,,0.0007371013667425969
