,Time_s,Ext_Disp_mm,Force_N,Globe_Disp_1_mm,Globe_Disp_2_mm,Stress_Mpa,Strain_mm/mm,DerivitiveForce,AveragedSamples
27,2.7,-0.006361,14.059823,0.246627,0.480798,2.5006354824366386,0.007202891355140187,42.89338975,
28,2.8,-0.013048,13.988853,0.300725,0.501509,2.488012983548244,0.008782856308411215,,
29,2.9,-0.017941,17.661869,0.387093,0.595409,3.141283948421521,0.011305286214953272,,
30,3.0,-0.0103,23.901577,0.436985,0.696693,4.251058603823922,0.01276241238317757,,
31,3.1,-0.012534,38.331086,0.468808,0.744153,6.817445264562028,0.013691822429906542,,
32,3.2,-0.00355,53.846932,0.486382,0.808092,9.577044375277902,0.014205081775700934,,47.04050325
33,3.3,-0.01386,72.082418,0.512156,0.92112,12.820350022232105,0.014957827102803736,,
34,3.4,-0.013824,88.96572,0.527485,0.898177,15.823160515784796,0.015405519859813083,,
35,3.5,-0.00163,107.264981,0.576088,1.062797,19.077808981769678,0.016825,,
36,3.6,-0.005153,124.062229,0.591217,1.044848,22.065314184081817,0.017266851635514016,,
37,3.7,-0.002882,146.699377,0.658295,1.185322,26.091485460204538,0.019225905373831773,190.89033075,
38,3.8,-0.013554,166.360969,0.692147,1.133484,29.588433792796803,0.02021457359813084,,
39,3.9,-0.008016,190.552955,0.744139,1.035248,33.8911436193864,0.021733031542056074,,
40,4.0,0.00314,209.063282,0.747373,0.899995,37.18333161405069,0.02182748247663551,,
41,4.1,-0.011118,226.369446,0.803965,0.966308,40.26135100044465,0.02348028621495327,,
42,4.2,0.00473,245.606091,0.838253,1.007163,43.68271960871498,0.02448168808411215,,237.930834
43,4.3,0.00363,270.684517,0.871724,1.037517,48.14308883948422,0.02545922897196262,,
44,4.4,0.012778,297.079409,0.92054,1.134241,52.83760053357048,0.026884929906542055,,
45,4.5,0.005108,322.561008,0.950885,1.086202,57.369676834148514,0.027771174065420557,,
46,4.6,0.008824,346.497971,0.981156,1.121678,61.62702907959093,0.028655257009345795,,
47,4.7,0.010826,371.736248,1.012968,1.02679,66.1158289017341,0.029584345794392525,245.16118875,
48,4.8,0.014616,397.479617,1.05071,1.040833,70.69446278345933,0.0306866238317757,,
49,4.9,0.008609,420.205153,1.080141,0.971456,74.73635446865273,0.03154617406542056,,
