,Time_s,Ext_Disp_mm,Force_N,Globe_Disp_1_mm,Globe_Disp_2_mm,Stress_Mpa,Strain_mm/mm
0,0.0,0.023142,331.913033,-1.72603,-2.374058,60.116103926682605,0.050380326911850556
1,0.1,0.026058,337.338477,-1.7359477142857145,-2.07788,63.55540226762299,0.051393520140105085
2,0.2,0.033886,345.89133300000003,-1.7591637959183675,-1.961167,66.52058845903066,0.05304156450671337
3,0.3,0.052555,354.1427795714286,-1.7896129970845482,-1.824622,67.87861262044484,0.05445814360770578
4,0.4,0.074823,360.296787122449,-1.8314272836318202,-1.682792,68.04350612185758,0.05650796847635727
5,0.5,0.12486,363.6952999446064,-1.8686040597370144,-1.53797,67.41135658914729,0.05725469935785173
6,0.6,0.16505,368.3932025318617,-1.9155917569550103,-1.456888,68.85060475983482,0.05934211908931699
7,0.7,0.187289,373.6781318084726,-1.9658203978250075,-1.472366,70.07361714844599,0.06104471687098657
8,0.8,0.218777,380.46519129176613,-2.0157742841607194,-1.443057,71.98305440846194,0.062482749562171626
9,0.9,0.245149,387.80409206554725,-2.0658493458290854,-1.429948,73.56215025719047,0.06395321074138938
10,1.0,0.264227,394.18776547539085,-2.114050675592204,-1.486312,74.28583442005362,0.06522340922358437
11,1.1,0.284323,401.5607547681363,-2.1687490539944316,-1.585926,76.0691929290734,0.06729407472270871
12,1.2,0.32028,409.54940426295445,-2.222846181424594,-1.575983,77.79486850684634,0.06882921774664333
13,1.3,0.3396,416.8201904735389,-2.278428129588996,-1.613215,78.7867050641165,0.07055992410974898
14,1.4,0.361819,423.9519457668135,-2.33390266399214,-1.566821,80.01545569803667,0.07217130764740223
15,1.5,0.377301,430.69777954772394,-2.3861373314229573,-1.622801,81.06251611968413,0.07345954465849387
16,1.6,0.40553,437.6631622483742,-2.4303495224449696,-1.481089,82.42349833369558,0.07416462346760071
17,1.7,0.439191,444.08727846312445,-2.4795410874606927,-1.497805,83.34194903281896,0.07596380618797433
18,1.8,0.455337,450.78145975937457,-2.520131633900495,-1.405241,84.67668495979136,0.0765209573847052
19,1.9,0.475665,456.4216766852676,-2.5683148813574963,-1.448651,85.22100612185757,0.07848140688849971
20,2.0,0.503554,462.19693877519114,-2.612981486683926,-1.429131,86.32817032529161,0.07952854640980736
21,2.1,0.522606,468.42750826799374,-2.65660506191709,-1.344733,87.66281460552055,0.08072574430823118
22,2.2,0.551423,474.71175647713835,-2.70226790136935,-1.340269,88.82532366152286,0.08220738470519558
23,2.3,0.572555,480.24146491224167,-2.744505358120964,-1.268601,89.48520901253352,0.08319028021015763
24,2.4,0.599914,486.09330208017263,-2.787628398657832,-1.233324,90.69095395928422,0.08451360186806772
25,2.5,0.618079,491.55626262869475,-2.8307214276127373,-1.231749,91.50432224878651,0.08576923525977817
26,2.6,0.6573,496.8048995919248,-2.879855591151955,-1.346939,92.35790987466494,0.08764422066549912
27,2.7,0.665106,502.3490565656606,-2.9223382793942534,-1.241569,93.49587933782512,0.08839886164623467
28,2.8,0.698774,507.20660983261473,-2.9655719138530383,-1.314715,94.06478537274506,0.08971558669001753
29,2.9,0.713777,512.5868635947248,-3.0092965098950275,-1.261471,95.27593602839964,0.09102767075306481
30,3.0,0.743226,518.2162259962321,-3.048052078496448,-1.226358,96.40832282837066,0.09179629305312319
31,3.1,0.767987,522.8826322830229,-3.0857049132117487,-1.215466,96.81747591103384,0.09281485697606538
32,3.2,0.794685,526.9896533450163,-3.1199126522941065,-1.138436,97.30805006158083,0.09356193812025687
33,3.3,0.800097,529.9717712464402,-3.1560236087815046,-1.149089,97.33881511265668,0.09475484530064215
34,3.4,0.816937,534.1207803188859,-3.186572291986789,-1.078969,98.618652285735,0.09524063047285465
35,3.5,0.837666,538.5799276563471,-3.2263316371334207,-1.122695,99.56672390060133,0.09707326328079394
36,3.6,0.868684,543.0111628973908,-3.2654583122381577,-1.056419,100.35667083242774,0.09816914769410391
37,3.7,0.889109,547.805875212422,-3.3057153658843985,-1.10504,101.38967181047599,0.0994266783420899
38,3.8,0.907518,552.9951891517301,-3.3467089756317137,-1.098393,102.5082362529885,0.10067697022767076
39,3.9,0.940661,557.4827682512357,-3.38685641116551,-1.072578,103.00328117075999,0.10178706946876825
40,4.0,0.969059,561.0699410365969,-3.4229677222610784,-1.078707,103.24528598855322,0.10254658493870404
41,4.1,0.972366,562.0012610261407,-3.45905951590077,-1.078922,102.21139625443746,0.10359862813777
42,4.2,0.969035,560.8646644472434,-3.4823499399291213,-0.976642,101.06918296747085,0.1033443082311734
43,4.3,0.971329,559.5312683194595,-3.5031268142350864,-0.908174,100.73856734043325,0.10376733800350263
44,4.4,0.964976,557.8229250853283,-3.5184611530250613,-0.853815,100.25937604144028,0.1038177758318739
45,4.5,0.960148,556.9232804895202,-3.526878252160758,-0.662846,100.46261120770848,0.10355869819030941
46,4.6,0.953352,555.538152063943,-3.5340816086862556,-0.548655,99.99190954864885,0.10368038528896674
47,4.7,0.96262,554.5861237599593,-3.5417657204901825,-0.456333,100.01558592335,0.10393975481611209
48,4.8,0.968098,553.3585341142566,-3.544850086064416,-0.30505,99.6684706223285,0.10369413309982486
49,4.9,0.956326,551.940773224469,-3.5539914900460112,-0.269012,99.3255761428675,0.10440294804436662
50,5.0,0.97055,550.5046317317635,-3.5590476357471506,-0.168551,99.05713938998768,0.10425242265032109
51,5.1,0.980608,549.5818678084025,-3.5615228826765364,-0.058952,99.12246576831124,0.10413633975481612
52,5.2,0.983017,548.6270890060018,-3.5620272019118118,-0.069456,98.9350398464102,0.10400723876240514
53,5.3,0.968622,548.0896741471441,-3.5632680013655795,-0.029206,99.02668568427154,0.10409719789842382
54,5.4,0.954957,547.4641323908172,-3.5618200009754135,-0.009839,98.87348366297182,0.10385872737886749
55,5.5,0.941647,547.5906262791552,-3.5615022864110095,-0.031268,99.23691606897053,0.10393193228254524
56,5.6,0.867475,546.9349793422538,-3.5661170617221494,-0.076105,98.76401180902704,0.10442656158785757
57,5.7,0.836716,546.0991598158955,-3.5694870440872495,-0.051837,98.53104596826776,0.10443409223584356
58,5.8,0.867122,544.9119907256397,-3.567212460062321,-0.025943,98.1569347243353,0.10395580852305897
59,5.9,0.748538,543.5533002325998,-3.5707474714730862,-0.005461,97.83318372817504,0.10448292469352014
60,6.0,0.782305,541.3497178804284,-3.5729027653379184,-0.025351,97.05150365862495,0.10444515469935786
61,6.1,0.852898,539.6208510574489,-3.5753676895270843,-0.034328,96.95332246613056,0.10453969643899591
62,6.2,0.87101,537.7621124696064,-3.578173492519346,-0.063531,96.5578616967326,0.1046464681844717
63,6.3,0.86394,536.7442663354332,-3.5807410660852472,-0.062266,96.754265558212,0.10470402802101576
64,6.4,1.043877,535.3557848110237,-3.5817290472037477,-0.073649,96.33495997246976,0.10461760070052539
65,6.5,0.799647,534.480612865017,-3.5818933194312486,-0.065956,96.40887542563212,0.1045622883829539
66,6.6,0.465862,533.1602729035835,-3.582965799593749,-0.025666,95.9681632616098,0.1046598657326328
67,6.7,0.777143,532.4855732168453,-3.5825018568526783,-0.005707,96.13830761428676,0.10453420899007589
68,6.8,1.235702,532.2887068691753,-3.5795956120376275,-0.034477,96.31901416358764,0.1042711617046118
69,6.9,1.805897,531.6867674779824,-3.57838972288402,0.013442,96.02657375208288,0.10436004086398133
70,7.0,1.931138,531.5774544842731,-3.5752815163457283,0.035152,96.22983626747809,0.10413050204319907
71,7.1,2.492539,531.6435072030522,-3.579848797389806,-0.036454,96.32120535390858,0.10482390542907181
72,7.2,2.8278,531.6536722878944,-3.5803205695641473,0.016243,96.29774052742158,0.10453882078225336
73,7.3,3.129418,531.7401650627818,-3.5836506925458194,-0.017061,96.34796728971965,0.10484460011675423
74,7.4,4.550221,531.2147047591299,-3.5840593518184423,-0.001715,95.9757034702601,0.10464334500875658
75,7.5,5.342801,530.5962671136642,-3.58664239415603,-0.029154,95.82159186408752,0.10487740805604204
76,7.6,6.502016,530.6944533669031,-3.5847059958257352,0.01429,96.16386274722888,0.10449109748978401
77,7.7,6.034882,530.6528146906451,-3.5868434255898114,-0.029762,96.09300840397016,0.10485075890251022
78,7.8,5.078207,530.5015067790322,-3.5820393039927225,0.003041,96.015945265522,0.10420399883245768
79,7.9,3.912611,530.3570685564516,-3.5827143599948017,-0.025187,95.99289520394119,0.1046235259778167
80,8.0,0.999223,530.2716738260368,-3.5788108285677156,-0.005751,96.00416340650584,0.10417548161120842
81,8.1,0.170298,530.4367444471691,-3.5811754489769396,0.017653,96.14747174527278,0.10470189725627554
82,8.2,0.108893,531.0976083194065,-3.578576177840671,0.019352,96.49166268202566,0.10426380618797432
83,8.3,0.435656,531.0363433710047,-3.5826818413147654,0.006404,96.15358635803813,0.10487291301809691
84,8.4,-2.180796,530.7559792650034,-3.586405600939118,-0.031067,96.00359867420127,0.10495373613543492
85,8.5,-5.079232,530.9152709035739,-3.58534657209937,0.02605,96.2315257552706,0.10457381786339755
86,8.6,-6.288249,530.7462735025528,-3.5843355514995503,-0.003607,96.05226762298054,0.10454781085814362
87,8.7,-0.724838,530.7892362161091,-3.5895225367853936,-0.032914,96.15602459610231,0.10515148861646235
88,8.8,2.574271,530.6033864400779,-3.585620383418138,-0.012063,96.01875715424185,0.10437434325744309
89,8.9,2.567226,530.8968443143414,-3.586155416727242,-0.011564,96.28893881764834,0.10471374781085814
90,9.0,1.50567,530.517053653101,-3.5856052976623154,-0.0447,95.91530410055786,0.10461850554582604
91,9.1,1.294282,530.5780066093579,-3.579681784044511,0.061628,96.12591266391364,0.10405350262697023
92,9.2,0.814255,530.4231255781127,-3.57508041717465,0.027122,96.00013094979354,0.10401567425569178
93,9.3,1.727921,530.4543134129376,-3.577002869410464,0.029992,96.09003169600813,0.10454784004670169
94,9.4,1.970596,529.7828915806697,-3.580445478150331,0.016069,95.6502820039122,0.10475925277291302
95,9.5,2.037862,530.3673642719069,-3.579990770107379,0.011493,96.3248109106716,0.10446158785755985
96,9.6,1.942113,530.5145670513621,-3.573982835790985,0.064311,96.15347641816997,0.10388099824868652
97,9.7,1.809129,529.7649238938301,-3.5742457398507033,0.085547,95.61160907049192,0.1043462638645651
98,9.8,1.797229,529.4352750670214,-3.5766909570362166,-0.017754,95.7420765413316,0.1045768826619965
99,9.9,0.921249,529.6274547621581,-3.5821512550258694,-0.024864,96.01316815185105,0.10495627553998833
100,10.0,0.729819,529.52085997297,-3.5819531821613353,0.008247,95.85857657755561,0.10453759486281379
101,10.1,0.176349,530.0060085521214,-3.583878272972383,-0.063989,96.21438817648338,0.10474871570344425
102,10.2,-0.110076,530.3602123943724,-3.5777679092659875,-0.001761,96.21924980076795,0.1039840046701693
103,10.3,-0.07813,530.2084605674089,-3.583770792332848,-0.049945,95.96266771716294,0.10504314068884997
104,10.4,-0.785612,530.396379262435,-3.58068085166632,0.044142,96.15050641164964,0.10428943374197315
105,10.5,-0.403764,530.6333737588822,-3.5834386083330863,-0.024138,96.21565239440703,0.10479664331582021
106,10.6,0.706071,530.4968501134872,-3.585605577380776,-0.092918,96.02179616749983,0.104816783420899
107,10.7,0.884779,530.1310120810623,-3.58446341241484,-0.025251,95.85170198507572,0.10454197314652657
108,10.8,1.321141,530.259271486473,-3.5817698660106,0.019635,96.0986597116569,0.10435014594279043
109,10.9,2.928265,530.8899244903379,-3.5816941900075716,0.044545,96.44036749257408,0.10453896672504379
110,11.0,1.491933,531.0249754930985,-3.5793092785768366,0.023506,96.24041929290736,0.10430084646818448
111,11.1,0.753518,530.5138956379275,-3.581938913269169,0.000332,95.8552843584728,0.10474352014010509
112,11.2,-0.002877,530.2918911699483,-3.5835523666208347,-0.068514,95.9459682677679,0.10471646234676008
113,11.3,-0.749188,530.3534074071059,-3.5814088333005962,0.061947,96.08548829964502,0.10437974314068886
114,11.4,-0.575052,529.8861330050756,-3.583584309500426,-0.044541,95.7614190755633,0.10475840630472856
115,11.5,-0.588089,530.5382990036255,-3.5823367925003042,0.021958,96.38642215460409,0.10447221249270287
116,11.6,-0.952667,529.9926492883039,-3.580946566071646,0.044636,95.74522295877708,0.10442122008172797
117,11.7,-0.734357,529.3589680630743,-3.580678690051176,0.002243,95.59058990799103,0.10449530064214828
