,index,Time_s,Ext_Disp_mm,Force_N,Globe_Disp_1_mm,Globe_Disp_2_mm,Stress_Mpa,Strain_mm/mm,DerivitiveForce,AveragedSamples,Ext_Strain_mm/mm
0,57,5.7,-0.002915,44.692128,1.555586,1.321278,17.991999999999997,0.044030172657797906,5.413635500000012,,
1,58,5.8,0.00173,53.799747,1.586578,1.258885,21.658513285024156,0.044907387489385796,,,
2,59,5.9,0.005026,64.764159,1.640337,1.458727,26.07252777777778,0.04642901217095952,,,
3,60,6.0,0.006803,80.884591,1.688696,1.505893,32.5622347020934,0.04779779224455138,,,
4,61,6.1,0.010381,87.073003,1.721076,1.459857,35.05354388083736,0.04871429380130202,,,
5,62,6.2,0.004096,94.324678,1.748542,1.395345,37.972897745571665,0.04949170676478913,,90.96568925000001,
6,63,6.3,0.003521,101.580485,1.769361,1.316939,40.893915056360704,0.050080979337673366,,,
7,64,6.4,0.002526,113.243763,1.817489,1.352472,45.58927657004831,0.051443221058590435,,,
8,65,6.5,0.011407,120.283046,1.834309,1.282473,48.42312640901771,0.05191930370789697,,,
9,66,6.6,0.012317,128.714935,1.867011,1.315522,51.81760668276973,0.052844919332012456,,,
10,67,6.7,0.015996,136.708572,1.924595,1.44706,55.03565700483092,0.054474808944240026,107.94242649999997,,
11,68,6.8,0.011915,150.09247,1.947437,1.419899,60.42369967793881,0.0551213416360034,,,0.0003372487970563261
12,69,6.9,0.019543,164.368028,1.958774,1.255251,66.17070370370371,0.05544223039909426,,,0.0005531559581092556
13,70,7.0,0.014764,177.792712,2.000767,1.227415,71.57516586151368,0.056630823662609686,,,0.0004178884800452873
14,71,7.1,0.009992,193.597144,2.054452,1.308507,77.93765861513687,0.05815035380696292,,,0.00028281913388055477
15,72,7.2,0.004686,204.954534,2.080919,1.300039,82.5098768115942,0.0588994905179734,,198.90811574999998,0.00013263515425983584
16,73,7.3,0.012053,219.288073,2.127641,1.414206,88.28022262479871,0.06022193603170111,,,0.00034115482592697425
17,74,7.4,0.014662,232.432261,2.165694,1.365606,93.57176368760065,0.06129900934050382,,,0.0004150014152278517
18,75,7.5,0.011737,244.491592,2.205781,1.455043,98.42656682769726,0.06243365411831305,,,0.0003322105859043306
19,76,7.6,0.013704,256.509997,2.240416,1.470554,103.26489412238325,0.06341398245117465,,,0.0003878856495895839
20,77,7.7,0.018505,272.563529,2.289427,1.429952,109.72766867954913,0.06480121709595245,141.45719725000015,,0.0005237758279082932
21,78,7.8,0.015531,290.457213,2.322609,1.474529,116.93124516908213,0.0657404189074441,,,0.0004395980752901217
22,79,7.9,0.017474,303.583308,2.357452,1.560017,122.21550241545893,0.0667266345881687,,,0.0004945938296065667
23,80,8.0,0.014443,313.793344,2.377902,1.485239,126.32582286634461,0.06730546277950751,,,0.00040880271723747524
24,81,8.1,0.015273,331.312258,2.418922,1.437915,133.37852576489533,0.06846651570902915,,,0.00043229549957543166
25,82,8.2,0.021297,351.703398,2.462471,1.497504,141.5875193236715,0.06969915086328898,,340.365313,0.0006028021511463345
26,83,8.3,0.007408,364.652252,2.490693,1.427676,146.80042351046697,0.07049796207189357,,,0.00020968015850551938
27,84,8.4,0.018521,377.483582,2.527978,1.422214,151.9660152979066,0.07155329748089442,,,0.0005242287008208322
28,85,8.5,0.020931,389.995997,2.556704,1.38221,157.00321940418678,0.07236637418624399,,,0.0005924426832720069
29,86,8.6,0.014515,403.361432,2.574741,1.315562,162.38382930756842,0.07287690348146052,,,0.0004108406453439004
30,87,8.7,0.016993,417.571129,2.623132,1.313525,168.1043192431562,0.07424658930087745,136.39205199999998,,0.0004809793376733655
31,88,8.8,0.017961,431.625363,2.643288,1.262643,173.7622234299517,0.07481709595244836,,,0.0005083781488819701
32,89,8.9,0.018918,447.062088,2.693319,1.311193,179.97668599033818,0.0762332012454005,,,0.0005354656099632041
33,90,9.0,0.026978,456.341884,2.711442,1.317612,183.71251368760065,0.07674616473252194,,,0.0007636003396546844
34,91,9.1,0.028137,469.293599,2.705356,1.126107,188.92656964573268,0.07657390319841495,,,0.0007964053212567223
35,92,9.2,0.025974,481.791311,2.75098,1.129968,193.95785466988727,0.07786527030851968,,476.757365,0.0007351825643928673
36,93,9.3,0.025168,499.602666,2.802692,1.220282,201.12828743961353,0.07932895556184547,,,0.0007123690914237192
37,94,9.4,0.020115,513.956197,2.842913,1.247537,206.90668156199678,0.08046739315029719,,,0.000569346164732522
38,95,9.5,0.023262,530.248061,2.865682,1.211009,213.46540297906603,0.08111185960939712,,,0.0006584206057175206
39,96,9.6,0.028556,540.991657,2.902019,1.280525,217.79052214170693,0.08214036229833004,,,0.0008082649306538353
40,97,9.7,0.033703,556.583249,2.931012,1.215519,224.06733051529793,0.08296099632040758,74.88933025,,0.0009539484857061986
41,98,9.8,0.02587,560.663099,2.949162,1.200663,225.70978220611917,0.08347472403056892,,,0.0007322388904613643
42,99,9.9,0.033611,558.964589,2.93736,0.972653,225.02600201288246,0.08314067364845741,,,0.0009513444664591
43,100,10.0,0.035212,554.355701,2.95809,0.964712,223.17057206119162,0.08372742711576564,,,0.0009966600622700256
44,101,10.1,0.038879,554.053679,2.960369,0.99793,223.0489851046699,0.08379193320124541,,,0.001100452872912539
45,102,10.2,0.030168,550.567628,2.986521,0.938735,221.64558293075686,0.08453215397679027,,551.64669525,0.0008538918765921314
46,103,10.3,0.027722,547.609773,2.988271,0.739869,220.4548200483092,0.08458168695159922,,,0.0007846589300877442
47,104,10.4,0.024719,548.290309,3.000275,0.614375,220.72878784219,0.08492145485423153,,,0.0006996603453155958
48,105,10.5,0.035987,549.33617,2.987449,0.48422,221.14982689210953,0.08455842060571751,,,0.0010185960939711294
49,106,10.6,0.023572,548.235452,2.983254,0.318483,220.7067037037037,0.08443968298896123,,,0.0006671950183979621
50,107,10.7,0.040161,545.635576,2.997286,0.270248,219.6600547504026,0.08483685253325786,-8.843605750000052,,0.0011367393150297199
51,108,10.8,0.030869,545.519271,2.989486,0.161476,219.61323309178744,0.08461607698839513,,,0.0008737333710727428
52,109,10.9,0.026326,544.054807,3.007134,0.26425,219.02367431561996,0.08511559581092557,,,0.0007451457684687235
53,110,11.0,0.023416,543.185181,2.999478,0.169439,218.6735833333333,0.08489889612227569,,,0.0006627795075007076
54,111,11.1,0.031742,542.399907,3.000062,0.159716,218.35745048309178,0.08491542598358336,,,0.0008984432493631475
55,112,11.2,0.031639,542.431876,2.989087,0.011252,218.37032045088566,0.0846047834701387,,542.8030894999999,0.0008955278799886782
56,113,11.3,-0.004185,543.195394,3.007702,0.069796,218.67769484702092,0.0851316727993207,,,0.00011845457118596096
57,114,11.4,-0.068098,540.75964,3.018958,0.075364,217.69711755233493,0.08545026889329183,,,0.001927483724879706
58,115,11.5,-0.172709,541.848641,3.005012,0.06526,218.13552375201292,0.08505553354090008,,,0.004888451740730258
59,116,11.6,-0.46561,539.729077,3.020664,0.153026,217.2822371175523,0.08549855646759129,,,0.013178884800452874
60,117,11.7,-2.183387,537.959644,3.019874,0.088706,216.56990499194848,0.08547619586753469,-4.7005387499998506,,0.06179980186810077
61,118,11.8,-2.487296,538.129718,3.014588,0.100808,216.63837278582932,0.08532657797905463,,,0.07040181149165016
62,119,11.9,-2.637606,537.194779,3.016843,0.043891,216.26198832528183,0.08539040475516559,,,0.07465626945938296
63,120,12.0,-2.912355,539.129212,3.01329,0.042126,217.04074557165865,0.08528983866402491,,,0.08243291819983017
64,121,12.1,-3.705222,537.113246,3.026842,0.109641,216.2291650563607,0.08567342202094537,,,0.10487466742145486
65,122,12.2,-4.575873,539.034686,3.026608,0.146168,217.00269162640902,0.0856667987545995,,538.1025507500001,0.1295180583073875
66,123,12.3,-5.092735,537.133059,3.011986,0.023119,216.23714130434783,0.08525292952165299,,,0.14414760826493067
67,124,12.4,-4.872291,537.316571,3.026526,0.030041,216.31101892109498,0.08566447778092273,,,0.13790803849419755
68,125,12.5,-3.293544,534.987301,3.015438,0.039357,215.37330958132046,0.08535063685253326,,,0.09322230399094254
69,126,12.6,-1.392487,534.3034,3.024314,0.014546,215.09798711755235,0.08560186810076423,,,0.03941372771016134
70,127,12.7,-0.518201,536.18552,3.023944,0.008023,215.85568438003222,0.08559139541466176,-2.7859400000002097,,0.014667449759411267
71,128,12.8,-0.174383,536.892326,3.027347,0.053078,216.1402278582931,0.08568771582224738,,,0.004935833569204642
72,129,12.9,-0.099023,535.486817,3.034359,0.065543,215.574402979066,0.08588618737616756,,,0.0028028021511463347
73,130,13.0,-0.076436,536.406542,3.02467,0.056014,215.94466264090175,0.08561194452306822,,,0.0021634871214265498
74,131,13.1,-0.280229,535.628259,3.021159,-0.027554,215.63134420289853,0.08551256722332296,,,0.007931757712991792
75,132,13.2,-0.407105,533.291794,3.022119,-0.018444,214.69073832528179,0.0855397395980753,,535.3166107499999,0.011522926691197283
76,133,13.3,-0.534333,535.939848,3.018957,0.026093,215.75678260869566,0.0854502405887348,,,0.015124058873478629
77,134,13.4,-0.54073,535.908481,3.005771,-0.078699,215.7441549919485,0.08507701669968866,,,0.015305123124823098
78,135,13.5,-0.533773,533.562856,3.045488,0.112775,214.7998615136876,0.08620118879139542,,,0.01510820832153977
79,136,13.6,-0.716711,531.228368,3.025009,0.007897,213.86005152979067,0.08562153976790263,,,0.020286187376167563
80,137,13.7,-0.846074,534.52024,3.015747,-0.028259,215.18528180354267,0.08535938296065668,-3.52201424999987,,0.023947749787715824
81,138,13.8,-0.899632,534.912953,3.016957,-0.044347,215.34337882447664,0.08539363147466743,,,0.025463685253325787
82,139,13.9,-1.073463,533.097373,3.033617,-0.003419,214.6124690016103,0.08586518539484858,,,0.03038389470704784
83,140,14.0,-1.279415,530.87194,3.018968,-0.020143,213.71656199677938,0.08545055193886217,,,0.036213274837248795
84,141,14.1,-1.297117,530.408945,3.036077,0.056409,213.53017109500806,0.08593481460515144,,,0.036714322105859044
85,142,14.2,-1.599051,533.972593,3.028523,0.025684,214.96481199677936,0.08572100198131899,,531.7945965,0.045260430229266915
86,143,14.3,-1.946471,531.924908,3.032242,0.054331,214.14046215780996,0.08582626662892727,,,0.055093999433908865
87,144,14.4,-1.932202,531.19235,3.033084,0.101289,213.84555152979067,0.08585009906594962,,,0.054690121709595245
88,145,14.5,-1.865628,533.294135,3.037024,-0.028552,214.6916807568438,0.08596161902066234,,,0.05280577412963488
89,146,14.6,-1.878181,533.638129,3.038813,0.052745,214.83016465378424,0.0860122558731956,,,0.05316108123407869
90,147,14.7,-1.777295,534.434292,3.017787,0.007178,215.15068115942032,0.08541712425700539,1.5380082499999617,,0.050305547693178604
