,Time_s,Ext_Disp_mm,Force_N,Globe_Disp_1_mm,Globe_Disp_2_mm,Stress_Mpa,Strain_mm/mm,DerivitiveForce,AveragedSamples
7,0.7,0.001669,-0.459654,-0.008579,-0.052127,0.08144117647058825,0.0002556317044100119,19.492738499999998,
8,0.8,-0.005845,2.921059,-0.025439,-0.045084,0.5175512048192772,0.000758015494636472,,
9,0.9,-0.002854,7.420112,-0.004584,0.012463,1.314690290574061,0.0001365911799761621,,
10,1.0,-0.004842,14.224634,-0.014852,-0.03097,2.520310772501772,0.00044255065554231227,,
11,1.1,-0.004197,18.348108,-0.007513,-0.027594,3.2509050318922754,0.00022386769964243144,,
12,1.2,-0.004335,22.379266,0.01329,0.053822,3.9651428065201992,0.00039600715137067937,,19.2689235
13,1.3,0.000414,22.123686,-0.005455,0.038411,3.9198593196314673,0.0001625446960667461,,
14,1.4,0.004314,25.226203,0.010299,0.021281,4.469561126860383,0.00030688319427890344,,
15,1.5,-0.002877,27.06907,0.038433,0.07799,4.796079021970234,0.0011452026221692492,,
16,1.6,0.006556,27.355042,0.108528,0.301233,4.846747342310419,0.0032338498212157326,,
17,1.7,-0.001691,28.25662,0.239668,0.691524,5.006488306165841,0.007141477949940404,2.3046287499999987,
18,1.8,0.00912,22.881157,0.37404,1.128974,4.05406750531538,0.011145411203814064,,
19,1.9,-0.002044,16.033885,0.408229,1.173596,2.840872608079377,0.012164153754469605,,
20,2.0,0.006587,16.958633,0.39018,1.152246,3.0047188164422396,0.011626340882002383,,
21,2.1,0.004597,18.566292,0.414598,1.200769,3.2895627214741325,0.01235393325387366,,
22,2.2,0.010381,24.526239,0.403559,1.105335,4.345541991495394,0.012025,,21.57355225
23,2.3,-0.001338,26.243045,0.426995,1.229881,4.649724486180014,0.012723331346841478,,
24,2.4,0.008854,27.017959,0.534553,1.481615,4.787023210489016,0.01592827771156138,,
25,2.5,0.007152,29.84458,0.598128,1.591965,5.287841956059533,0.01782264600715137,,
26,2.6,0.007469,31.681998,0.683793,1.6345,5.613394401133949,0.020375238379022644,,
27,2.7,0.003036,34.544839,0.830678,1.681358,6.120630581148124,0.02475202622169249,67.91601125,
28,2.8,0.009636,40.649672,1.014475,1.820144,7.202280652019845,0.03022869487485101,,
29,2.9,0.010279,51.022751,1.064685,1.863938,9.04017558469171,0.031724821215733015,,
30,3.0,0.010668,65.741399,1.081445,1.961239,11.648015414599577,0.0322242252681764,,
31,3.1,0.009661,79.432793,1.110312,1.980077,14.073847094259394,0.03308438617401668,,
32,3.2,0.014442,97.306428,1.134071,2.075867,17.24068532955351,0.033792342073897495,,89.4895635
33,3.3,0.017985,115.477634,1.177877,2.133095,20.46024698795181,0.03509764600715137,,
34,3.4,0.026313,136.148667,1.24397,2.020434,24.12272625797307,0.037067044100119184,,
35,3.5,0.022578,160.357364,1.294617,1.986093,28.412006378454997,0.03857619189511322,,
36,3.6,0.038014,185.590143,1.344805,1.886674,32.882732636428074,0.04007166269368295,,
37,3.7,0.038294,206.596769,1.385502,1.598589,36.6046720411056,0.041284326579261024,227.75678924999997,
38,3.8,0.038699,225.473405,1.414654,1.150166,39.94922129695252,0.04215297973778308,,
39,3.9,0.047373,244.044745,1.455539,1.105673,43.239678419560605,0.04337124553039332,,
40,4.0,0.050845,268.501531,1.540815,1.305267,47.57291477675408,0.045912246722288434,,
41,4.1,0.060603,303.056645,1.571223,1.309277,53.69536587526578,0.04681832538736591,,
42,4.2,0.065924,333.331164,1.644548,1.44745,59.05938412473424,0.04900321811680571,,317.24635274999997
43,4.3,0.06377,364.096071,1.705609,1.502806,64.51028897944721,0.0508226758045292,,
44,4.4,0.058163,386.411749,1.7482,1.436354,68.464165308292,0.052091775923718706,,
45,4.5,0.062517,411.622434,1.775923,1.369218,72.9309769666903,0.05291784862932061,,
46,4.6,0.060351,441.885138,1.855183,1.45373,78.29290184266479,0.055279588796185934,,
47,4.7,0.054943,479.140695,1.925158,1.5328,84.89381555634303,0.05736466030989272,308.2574,
48,4.8,0.070122,515.083081,1.956367,1.530129,91.26206254429484,0.05829460667461263,,
49,4.9,0.070172,547.521085,2.033172,1.653564,97.00940556343019,0.06058319427890345,,
50,5.0,0.080338,578.742578,2.060496,1.483077,102.54120800850461,0.061397377830750895,,
51,5.1,0.087066,603.900063,2.091391,1.478047,106.99859372785261,0.062317967818831935,,
52,5.2,0.085773,640.397269,2.121463,1.360127,113.46514333805814,0.06321403456495828,,625.50375275
53,5.3,0.085387,678.975101,2.190507,1.381682,120.30033681785969,0.06527136471990465,,
54,5.4,0.088303,712.033989,2.231558,1.376169,126.1576876328845,0.0664945768772348,,
55,5.5,0.094699,746.439208,2.269966,1.406369,132.2535804394047,0.06763903456495829,,
56,5.6,0.095994,779.06503,2.283398,1.221505,138.0342009213324,0.06803927294398093,,
