,Time_s,Ext_Disp_mm,Force_N,Globe_Disp_1_mm,Globe_Disp_2_mm,Stress_Mpa,Strain_mm/mm,DerivitiveForce,AveragedSamples
17,1.7,-0.005501,8.566628,0.169975,0.619925,1.8678327228327227,0.005198012232415901,21.900249999999993,
18,1.8,-0.006701,11.651584,0.219248,0.886733,2.54046398046398,0.006704831804281345,,
19,1.9,0.000676,13.189494,0.265646,1.064034,2.875783621140764,0.008123730886850151,,
20,2.0,-0.005534,17.442286,0.322489,1.356385,3.8030450898308037,0.009862048929663608,,
21,2.1,-0.004814,22.359066,0.3742,1.543432,4.875079801151229,0.011443425076452598,,
22,2.2,-0.011673,24.157629,0.403446,1.697607,5.267231161695447,0.012337798165137614,,23.563685749999998
23,2.3,-0.010253,30.295762,0.457565,1.88407,6.605564713064712,0.01399281345565749,,
24,2.4,-0.002844,18.800409,0.464839,1.77839,4.099164704343275,0.01421525993883792,,
25,2.5,-0.018193,18.409769,0.464365,1.574922,4.013991147741148,0.014200764525993883,,
26,2.6,-0.004496,16.606572,0.479359,1.409413,3.6208294086865513,0.014659296636085626,,
27,2.7,-0.007436,24.417532,0.452478,1.186363,5.323899354613641,0.013837247706422017,27.24853025,
28,2.8,-0.010103,29.374094,0.396437,0.760764,6.404607971393685,0.012123455657492354,,
29,2.9,-0.01524,34.458198,0.384922,0.508675,7.513125327053899,0.011771314984709479,,
30,3.0,-0.0015,40.799074,0.384171,0.266875,8.89566413744985,0.01174834862385321,,
31,3.1,-0.009435,47.682537,0.402303,0.120041,10.39650641025641,0.012302844036697248,,
32,3.2,0.003002,53.659149,0.3882,-0.0532,11.69962257980115,0.011871559633027521,,50.812216
33,3.3,-0.006649,61.108104,0.439523,-0.06954,13.323762428048141,0.013441070336391437,,
34,3.4,-0.011147,67.336832,0.473744,0.019547,14.681848944706086,0.014487584097859326,,
35,3.5,-0.005641,78.231483,0.539273,0.312813,17.057274332810046,0.016491529051987766,,
36,3.6,-0.010554,85.097328,0.595899,0.474278,18.554275248560963,0.01822321100917431,,
37,3.7,-0.005416,90.247622,0.636354,0.756111,19.677224402581547,0.01946036697247706,87.29326824999998,
38,3.8,-0.006298,100.204248,0.679222,1.164124,21.84812663526949,0.02077131498470948,,
39,3.9,-0.000172,110.767643,0.704225,1.324003,24.151326312576312,0.021535932721712538,,
40,4.0,-0.004626,121.913573,0.739707,1.48166,26.581539551718123,0.022621009174311923,,
41,4.1,0.003261,130.898156,0.784499,1.590595,28.540501482644338,0.023990795107033634,,
42,4.2,-0.003569,142.734481,0.83387,1.848842,31.121245639281348,0.025500611620795106,,138.10548425
43,4.3,0.002054,156.875727,0.87603,1.811784,34.20454539508111,0.02678990825688073,,
44,4.4,0.00281,167.236754,0.931778,1.921576,36.463621576835855,0.028494740061162076,,
45,4.5,-0.001995,179.018317,0.972748,1.804887,39.032425649747076,0.029747645259938834,,
46,4.6,0.009051,191.913634,1.04716,1.880111,41.844068114425255,0.032023241590214066,,
47,4.7,0.005842,201.726965,1.088732,1.890098,43.98372688819117,0.03329455657492354,117.3295555,
48,4.8,0.007165,212.914476,1.185286,2.097614,46.42300627943485,0.03624727828746177,,
49,4.9,0.014262,224.67171,1.212652,2.128687,48.98650575614861,0.03708415902140673,,
50,5.0,0.002038,235.770475,1.241168,2.08436,51.40643533054247,0.03795620795107033,,
51,5.1,0.010053,250.871148,1.294957,2.134713,54.69892464678179,0.03960113149847094,,
52,5.2,0.01523,262.428362,1.311985,2.002461,57.21881257631257,0.040121865443425074,,255.43503975
53,5.3,0.018914,272.670174,1.321495,1.868615,59.451895604395595,0.04041269113149847,,
54,5.4,0.011886,287.658948,1.356358,1.76569,62.71998691784406,0.04147883792048929,,
55,5.5,0.013953,304.905981,1.414034,1.842531,66.48045983778127,0.04324262996941896,,
56,5.6,0.016035,320.82555,1.412349,1.536754,69.95149790685505,0.04319110091743119,,
57,5.7,0.014606,332.859316,1.431227,1.426768,72.57529129600557,0.043768409785932716,139.30811025000003,
58,5.8,0.02213,347.772672,1.462195,1.168838,75.8269387755102,0.04471544342507645,,
59,5.9,0.021966,360.37333,1.487889,1.146538,78.57433499040641,0.04550119266055046,,
