,Time_s,Ext_Disp_mm,Force_N,Globe_Disp_1_mm,Globe_Disp_2_mm,Stress_Mpa,Strain_mm/mm,DerivitiveForce,AveragedSamples
37,3.7,0.016608,40.039448,0.619463,-0.214492,7.918881373363395,0.019394583594239196,45.79549624999999,
38,3.8,0.020339,46.144492,0.642791,-0.295171,9.126318579170126,0.020124953036944268,,
39,3.9,0.024061,53.235234,0.692771,-0.131039,10.528704165183338,0.02168976205385097,,
40,4.0,0.012087,58.516444,0.741462,0.126949,11.573205964953917,0.023214214151534122,,
41,4.1,0.0239,62.250634,0.759862,0.15231,12.311742810806534,0.023790294301815906,,
42,4.2,0.013824,69.079494,0.80726,0.36939,13.662334163996675,0.025274264245460237,,66.392243
43,4.3,0.01957,75.7224,0.874235,0.90181,14.976148095407616,0.02737116468378209,,
44,4.4,0.026352,76.915292,0.850349,1.011888,15.212074680590163,0.026623324984345647,,
45,4.5,0.019734,85.149529,0.857902,1.047001,16.840617261975396,0.026859799624295556,,
46,4.6,0.018656,90.456565,0.891259,1.239454,17.890226850203707,0.027904164057608014,,
47,4.7,0.025617,98.001025,0.927879,1.374412,19.38234741505478,0.029050688791484033,61.85873900000003,
48,4.8,0.022045,107.883998,0.983962,1.529983,21.336972034334085,0.03080657482780213,,
49,4.9,0.020814,111.940151,1.016776,1.456896,22.139185752145877,0.03183393863494051,,
50,5.0,0.023867,119.842893,1.034262,1.303871,23.702166251334994,0.03238140262993112,,
51,5.1,0.020585,124.438117,1.068678,1.378369,24.610995807127882,0.033458922980588605,,
52,5.2,0.022804,131.986342,1.107979,1.361345,26.10386100233377,0.03468938634940513,,128.25098200000002
53,5.3,0.022461,136.736576,1.137002,1.167977,27.043347968830346,0.03559805886036318,,
54,5.4,0.023828,143.19675,1.157912,1.3664,28.321021715913137,0.036252723857232313,,
55,5.5,0.030201,149.659411,1.217309,1.603357,29.599187334361773,0.03811236693800876,,
56,5.6,0.021548,156.953204,1.246759,1.590049,31.04173173529528,0.039034408265497804,,
57,5.7,0.022111,164.393484,1.254645,1.475506,32.513247893675086,0.03928130870381966,67.92941399999998,
58,5.8,0.034088,171.507336,1.279372,1.308543,33.92020410585024,0.04005547902316844,,
59,5.9,0.022055,178.29305,1.34086,1.453655,35.262262173173525,0.041980588603631804,,
60,6.0,0.029324,184.992308,1.373728,1.515701,36.58722123333729,0.043009643080776455,,
61,6.1,0.028646,191.212153,1.415677,1.556741,37.8173634349907,0.04432301189730745,,
62,6.2,0.025376,199.317149,1.4515,1.531897,39.42034512084174,0.045444583594239196,,196.180396
63,6.3,0.020737,209.199974,1.486962,1.567945,41.37494046912701,0.04655485284909204,,
64,6.4,0.029115,215.848609,1.544777,1.735556,42.68988746489458,0.0483649655604258,,
65,6.5,0.022977,222.348598,1.537749,1.425781,43.97543570270163,0.04814492798998121,,
66,6.6,0.02458,228.577773,1.561082,1.415932,45.20742316364068,0.04887545397620539,,
67,6.7,0.031528,234.230752,1.588561,1.490663,46.32545231596851,0.049735785848465865,74.15627075,
68,6.8,0.029701,243.299101,1.615415,1.505802,48.11896305525889,0.05057654978083907,,
69,6.9,0.029429,251.662194,1.663619,1.446258,49.772990388038444,0.05208575453976205,,
70,7.0,0.034199,256.143556,1.676546,1.356762,50.65930066057513,0.05249048215403882,,
71,7.1,0.031889,266.806235,1.735731,1.438907,52.76813318302282,0.05434348778960551,,
72,7.2,0.024122,274.429493,1.77417,1.433669,54.2758381788695,0.05554696305572949,,270.33666675
73,7.3,0.03152,283.967383,1.808387,1.442378,56.16221332225781,0.056618252974326856,,
74,7.4,0.027674,295.403756,1.854932,1.381404,58.42406471263003,0.05807551659361302,,
75,7.5,0.037097,302.416738,1.876681,1.518198,59.8110711601598,0.05875644959298685,,
76,7.6,0.031458,311.182346,1.889584,1.464334,61.54470669672876,0.05916042579837194,,
77,7.7,0.033244,317.845934,1.924022,1.500281,62.86261105177801,0.06023863494051346,81.85233625000002,
78,7.8,0.039179,325.578832,1.990361,1.686158,64.39200031644317,0.06231562304320601,,
79,7.9,0.037507,332.873141,1.99296,1.473902,65.8346467703018,0.062396994364433314,,
80,8.0,0.039003,339.40168,1.993847,1.420709,67.12584154107827,0.06242476518472135,,
81,8.1,0.039325,349.013641,2.033919,1.329587,69.02686622364621,0.06367936756418284,,
82,8.2,0.031875,357.514221,2.082271,1.381363,70.70808532099204,0.06519320601127113,,352.18900299999996
83,8.3,0.041355,362.82647,2.128512,1.429601,71.75872592065186,0.06664095178459611,,
84,8.4,0.04749,372.595678,2.161606,1.370935,73.69085044104268,0.067677082028804,,
85,8.5,0.030413,378.429694,2.188808,1.400929,74.84468454570626,0.06852874139010644,,
