,index,Time_s,Ext_Disp_mm,Force_N,Globe_Disp_1_mm,Globe_Disp_2_mm,Stress_Mpa,Strain_mm/mm,DerivitiveForce,AveragedSamples,Ext_Strain_mm/mm
0,17,1.7,-0.001266,-0.215612,0.006341,-0.002983,0.07615031433213251,0.00018562646370023423,1.8803097499999997,,
1,18,1.8,-0.011506,0.467749,-0.008171,-0.115954,0.16520060747333476,0.00023919789227166277,,,
2,19,1.9,0.002819,0.520712,0.006597,-0.015384,0.18390619481528572,0.00019312060889929746,,,
3,20,2.0,-0.006809,1.072893,0.004935,0.011573,0.3789266793812249,0.00014446721311475413,,,
4,21,2.1,-0.002973,-0.817099,0.011139,-0.011118,0.28858479903934453,0.00032608313817330213,,,
5,22,2.2,-0.007498,0.163961,-0.001043,-0.018054,0.05790810199901109,3.0532786885245905e-05,,0.5310945,
6,23,2.3,-0.007334,1.704623,0.014527,0.054026,0.602042452496998,0.0004252634660421546,,,
7,24,2.4,-0.013882,-0.507194,0.038461,0.165764,0.17913187822278734,0.0011259074941451991,,,
8,25,2.5,-0.004962,8.141521,0.057242,0.217744,2.8754400649855194,0.0016757025761124124,,,
9,26,2.6,-0.008805,22.505122,0.091758,0.325256,7.948407854771491,0.00268612412177986,,,
10,27,2.7,-0.000563,31.435679,0.117082,0.423219,11.102521367521367,0.003427459016393443,67.75576975,,
11,28,2.8,-0.013585,39.88501,0.147152,0.609987,14.086674436674437,0.004307728337236535,,,0.0003976873536299766
12,29,2.9,-0.002099,48.174042,0.157544,0.588892,17.01421275694003,0.0046119437939110075,,,6.144613583138174e-05
13,30,3.0,-0.006896,57.446926,0.187751,0.716075,20.289230062866427,0.005496223653395785,,,0.00020187353629976584
14,31,3.1,-0.01311,64.073292,0.211988,0.780037,22.629544394998938,0.006205737704918034,,,0.00038378220140515226
15,32,3.2,-0.014502,71.845331,0.251142,0.987868,25.37449000494455,0.007351932084309134,,68.28686425,0.0004245316159250586
16,33,3.3,-0.004683,79.781908,0.276045,1.024515,28.17754750300205,0.00808094262295082,,,0.00013709016393442623
17,34,3.4,-0.002506,88.242611,0.296249,1.014098,31.16571695980787,0.008672394613583139,,,7.336065573770493e-05
18,35,3.5,-0.011052,95.689275,0.323826,1.045782,33.79574592074592,0.009479683840749415,,,0.00032353629976580796
19,36,3.6,-0.003839,103.483055,0.347951,1.008863,36.548370064279155,0.010185919203747075,,,0.00011238290398126465
20,37,3.7,-0.003628,114.840164,0.381219,1.038859,40.559498481316666,0.011159806791569088,100.33530525000002,,0.00010620608899297425
21,38,3.8,-0.001182,125.879222,0.400437,0.993282,44.458296955569686,0.01172239461358314,,,3.4601873536299776e-05
22,39,3.9,-0.012072,138.962983,0.458237,1.180441,49.07924807515717,0.013414432084309135,,,0.00035339578454332554
23,40,4.0,-0.007654,147.637855,0.472462,1.116193,52.14305820442184,0.01383085480093677,,,0.00022406323185011713
24,41,4.1,0.001194,161.502575,0.520428,1.211387,57.03983011937558,0.015235011709601875,,,3.495316159250586e-05
25,42,4.2,0.004859,174.975691,0.54514,1.157786,61.79829448329449,0.015958430913348948,,168.6221695,0.00014224238875878222
26,43,4.3,0.007331,190.372557,0.560715,1.122847,67.23619304937488,0.016414373536299768,,,0.00021460772833723654
27,44,4.4,-0.010096,208.264089,0.598554,1.178794,73.55516317016318,0.01752207259953162,,,0.00029555035128805626
28,45,4.5,-0.005085,222.911683,0.647083,1.273224,78.72843222434132,0.018942710772833726,,,0.00014885831381733023
29,46,4.6,-0.000706,237.202556,0.678774,1.295186,83.77571378116832,0.019870433255269323,,,2.0667447306791573e-05
30,47,4.7,-0.003513,255.89783,0.702666,1.26292,90.37855124673307,0.020569847775175648,148.65377225,,0.00010283957845433257
31,48,4.8,0.001976,266.729206,0.733744,1.311606,94.20400014127286,0.021479625292740046,,,5.784543325526932e-05
32,49,4.9,0.003059,279.287055,0.754239,1.162308,98.63920851875397,0.022079596018735364,,,8.954918032786887e-05
33,50,5.0,0.003869,293.044817,0.803471,1.307227,103.49820477502297,0.023520813817330215,,,0.00011326112412177987
34,51,5.1,-0.001609,304.191442,0.842233,1.254461,107.43499399590308,0.02465553278688525,,,4.710187353629977e-05
35,52,5.2,0.001447,324.476184,0.863365,1.247787,114.5992032210214,0.02527415105386417,,317.27594175,4.2359484777517566e-05
36,53,5.3,0.005949,347.391324,0.904755,1.348768,122.69242212333121,0.02648580210772834,,,0.00017415105386416865
37,54,5.4,0.004758,358.163212,0.947033,1.376619,126.49686091686091,0.02772344847775176,,,0.0001392857142857143
38,55,5.5,-0.001409,376.053947,0.980592,1.30457,132.81554955145864,0.02870585480093677,,,4.1247072599531625e-05
39,56,5.6,0.006877,388.670272,1.025574,1.364583,137.27141060959244,0.030022658079625297,,,0.00020131733021077285
40,57,5.7,0.007807,405.72729,1.039192,1.326483,143.29564526382708,0.030421311475409836,134.19699499999996,,
41,58,5.8,0.005625,412.661211,1.08089,1.356847,145.74458253867346,0.031641978922716626,,,
42,59,5.9,0.012778,424.064597,1.105499,1.386018,149.77205516705516,0.03236238290398127,,,
43,60,6.0,0.009849,436.049706,1.137527,1.309704,154.00498198770927,0.03329997072599532,,,
44,61,6.1,0.014522,444.066989,1.178957,1.328454,156.83654340608885,0.034512792740046844,,,
45,62,6.2,0.009935,458.079009,1.188041,1.280677,161.7853390548845,0.03477871779859485,,451.47293675,
46,63,6.3,0.003803,467.696043,1.193273,1.135474,165.1819040050858,0.034931879391100706,,,
47,64,6.4,0.002695,477.956933,1.230236,1.11833,168.80586741541288,0.036013934426229514,,,
48,65,6.5,0.013335,493.112584,1.264357,1.112985,174.1585731440277,0.03701279274004684,,,
49,66,6.6,0.009856,509.967601,1.29709,1.066915,180.11146464646464,0.037971018735363,,,
195,212,21.2,0.104564,858.402659,3.092808,-0.03561,303.1725150102423,0.09053887587822014,,840.2760925,
196,213,21.3,0.105288,876.239136,3.128142,0.179864,309.4720406865862,0.09157324355971898,,,
197,214,21.4,0.111169,880.068751,3.159588,0.351646,310.82459242777423,0.09249379391100702,,,
198,215,21.5,0.107624,881.507203,3.18423,0.417267,311.33262802853716,0.09321516393442623,,,
199,216,21.6,0.097858,893.547801,3.232652,0.579595,315.58515257469804,0.09463266978922717,,,
200,217,21.7,0.107657,898.960469,3.279232,0.827376,317.49681041181043,0.09599625292740048,80.40316350000012,,
201,218,21.8,0.103932,906.874497,3.306357,0.876159,320.2919040050858,0.09679031030444966,,,
202,219,21.9,0.110962,911.673829,3.336101,1.028555,321.9869425019425,0.09766103629976583,,,
203,220,22.0,0.105565,911.972918,3.369632,1.182749,322.0925754043936,0.09864262295081969,,,
204,221,22.1,0.115668,916.248223,3.385222,1.23378,323.60253690753694,0.09909900468384077,,,
205,222,22.2,0.10685,924.078749,3.416925,1.276374,326.3681390831391,0.10002707845433256,,920.6792560000001,
206,223,22.3,0.118816,930.417134,3.443328,1.239313,328.60674366038006,0.10080000000000001,,,
207,224,22.4,0.103958,934.177573,3.480636,1.254529,329.93486367168185,0.10189215456674475,,,
208,225,22.5,0.114117,936.695535,3.513041,1.290678,330.82416295825385,0.10284077868852459,,,
209,226,22.6,0.108595,940.870082,3.553179,1.269185,332.2985385321749,0.1040157786885246,,,
210,227,22.7,0.109308,946.86171,3.562644,1.112988,334.4146747192202,0.10429285714285716,48.28675024999984,,
211,228,22.8,0.107533,955.241924,3.600262,1.156089,337.3744168962351,0.10539408665105388,,,
212,229,22.9,0.112718,959.381775,3.61671,1.097629,338.83653846153845,0.10587558548009368,,,
213,230,23.0,0.114311,959.952476,3.648921,1.09977,339.0380998799181,0.10681853044496488,,,
214,231,23.1,0.108394,965.050846,3.689251,1.187149,340.8387532669351,0.10799915105386418,,,
215,232,23.2,0.100057,972.008781,3.723331,1.203195,343.2961718584446,0.10899680913348947,,968.96600625,
216,233,23.3,0.111104,978.851922,3.769059,1.285049,345.71304725577454,0.11033545081967214,,,
217,234,23.4,0.107171,981.501317,3.796104,1.238805,346.64876633467543,0.11112716627634663,,,
218,235,23.5,0.107663,981.596043,3.826331,1.230695,346.68222186904006,0.11201203161592507,,,
219,236,23.6,0.103861,987.317165,3.839252,1.122631,348.70282015963835,0.11239028103044497,,,
220,237,23.7,0.109968,991.576334,3.87867,1.247756,350.20708271526456,0.11354420374707261,46.41869325000005,,
221,238,23.8,0.107976,1001.286028,3.902041,1.180189,353.6363735254644,0.11422836651053865,,,
