,Time_s,Ext_Disp_mm,Force_N,Globe_Disp_1_mm,Globe_Disp_2_mm,Stress_Mpa,Strain_mm/mm,DerivitiveForce,AveragedSamples
7,0.7,0.003621,-1.320521,0.008766,-0.054859,0.2937755283648498,0.00027022194821208384,18.46423875,
8,0.8,-0.000183,4.658751,0.04305,0.157164,1.0364295884315906,0.0013270653514180024,,
9,0.9,0.005275,6.105322,0.083227,0.28922,1.358247385984427,0.0025655672009864366,,
10,1.0,0.001216,13.091545,0.11398,0.43732,2.91246829810901,0.0035135635018495688,,
11,1.1,0.000677,16.266662,0.168834,0.624134,3.618834705228031,0.005204500616522812,,
12,1.2,-0.000279,20.702389,0.204069,0.813631,4.605648275862069,0.006290659679408139,,18.24293025
13,1.3,-0.003012,22.911125,0.280607,1.157446,5.09702447163515,0.008650030826140567,,
14,1.4,-0.006618,23.913876,0.305385,1.189508,5.320105895439377,0.009413840937114674,,
15,1.5,-0.010811,14.783162,0.312809,1.19403,3.288801334816463,0.009642694204685574,,
16,1.6,-0.007163,17.184053,0.336561,1.359118,3.822926140155728,0.010374876695437732,,
17,1.7,-0.011321,14.22673,0.307249,1.249046,3.165012235817575,0.009471300863131936,24.46230874999999,
18,1.8,-0.008616,21.629036,0.300262,1.084538,4.811798887652947,0.009255918618988902,,
19,1.9,-0.005166,25.635364,0.222759,0.600225,5.703084315906563,0.006866800246609126,,
20,2.0,-0.002204,31.805145,0.201239,0.366934,7.075671857619577,0.0062034217016029595,,
21,2.1,-0.002253,39.290787,0.194402,0.120075,8.740998220244716,0.005992663378545007,,
22,2.2,-0.011323,46.212711,0.195243,-0.025072,10.280914571746385,0.006018588162762023,,42.705239
23,2.3,-0.008391,53.512313,0.258518,-0.092339,11.904852725250278,0.007969112207151666,,
24,2.4,-0.002928,60.253707,0.271034,-0.147525,13.404606674082313,0.008354932182490752,,
25,2.5,-0.004455,67.228547,0.29445,-0.078234,14.956295216907677,0.00907675709001233,,
26,2.6,-0.018915,74.018523,0.284213,-0.211904,16.466857174638488,0.008761189889025894,,
27,2.7,-0.014949,78.92133,0.282456,-0.103165,17.55758175750834,0.008707028360049322,76.17686,
28,2.8,0.000445,86.977287,0.279261,-0.100444,19.34978576195773,0.008608538840937114,,
29,2.9,-0.007657,96.92821,0.28928,0.271328,21.563561735261402,0.008917385943279902,,
30,3.0,-0.008768,108.285292,0.32652,0.507866,24.090165072302558,0.010065351418002466,,
31,3.1,-0.003733,116.227442,0.35302,0.660966,25.857050500556173,0.010882244143033293,,
32,3.2,-0.001944,124.09211,0.363663,0.693817,27.60669855394883,0.011210326757090014,,118.88209900000001
33,3.3,-0.006211,126.923552,0.483409,0.939467,28.236607786429367,0.014901633785450062,,
34,3.4,-0.006304,135.945078,0.503104,0.96735,30.2436213570634,0.015508754623921086,,
35,3.5,-0.006516,146.944812,0.532904,0.98908,32.69072569521691,0.016427373612823676,,
36,3.6,-0.006942,155.061244,0.568989,1.181308,34.496383537263625,0.017539734895191124,,
37,3.7,-0.006235,168.365197,0.614948,1.380358,37.45610611790879,0.018956473489519114,103.56412450000002,
38,3.8,-0.004444,181.541674,0.651293,1.547981,40.38746918798665,0.020076849568434033,,
39,3.9,0.010103,194.22681,0.674484,1.603417,43.209523915461624,0.02079173859432799,,
40,4.0,-0.004491,207.343342,0.719533,1.64104,46.1275510567297,0.022180425400739827,,
41,4.1,0.000693,218.799196,0.742946,1.618734,48.67612814238042,0.022902157829839707,,
42,4.2,0.005095,226.03566,0.777333,1.740694,50.286020022246944,0.023962176325524047,,222.44622350000003
43,4.3,0.002016,237.606696,0.784385,1.259054,52.86022157953281,0.024179562268803946,,
44,4.4,-0.001014,246.893318,0.82653,1.350944,54.92621090100111,0.025478729963008633,,
45,4.5,-0.002527,256.673425,0.856197,1.349481,57.10198553948832,0.026393249075215786,,
46,4.6,0.008914,266.049861,0.882864,1.311983,59.18795572858732,0.027215289765721334,,
47,4.7,0.00185,279.882455,0.920851,1.271316,62.26528476084538,0.028386282367447595,120.50025974999994,
48,4.8,0.00497,296.468578,0.97501,1.35582,65.95518976640712,0.030055795314426637,,
49,4.9,0.007095,314.14363,1.000155,1.350428,69.88734816462735,0.0308309186189889,,
50,5.0,0.011141,325.56456,1.040424,1.335876,72.42815572858731,0.03207225647348952,,
51,5.1,0.013633,339.536132,1.089032,1.447811,75.53640311457174,0.033570653514180024,,
52,5.2,0.012931,349.264819,1.093599,1.321914,77.7007383759733,0.033711436498150435,,342.94648324999997
53,5.3,0.01754,357.420422,1.110889,1.363505,79.51511056729699,0.034244420468557336,,
54,5.4,0.011887,368.328535,1.135394,1.289663,81.9418320355951,0.0349998150431566,,
55,5.5,0.012756,377.658615,1.169581,1.303717,84.017489432703,0.036053668310727496,,
56,5.6,0.013013,385.26015,1.202017,1.33552,85.70859844271413,0.03705354500616523,,
57,5.7,0.016381,394.627562,1.181262,1.092454,87.79256106785317,0.036413748458692975,124.54044700000003,
58,5.8,0.013336,413.886939,1.211404,0.987144,92.07718331479421,0.037342909987669544,,
59,5.9,0.024508,427.195512,1.217935,0.915896,95.03793370411569,0.03754423551171394,,
60,6.0,0.015263,445.028863,1.262494,0.931161,99.00530878754171,0.038917817509247846,,
61,6.1,0.028784,460.483462,1.313993,0.92826,102.44348431590656,0.04050533292231813,,
62,6.2,0.026393,476.218051,1.354546,1.0826,105.943949054505,0.04175542540073983,,467.48693025
63,6.3,0.030703,488.217345,1.376125,1.10697,108.61342491657398,0.042420622688039464,,
64,6.4,0.026406,505.075581,1.405634,1.127565,112.36386674082313,0.043330271270036996,,
65,6.5,0.032382,522.657564,1.429811,1.088965,116.27532013348164,0.04407555487053021,,
66,6.6,0.032002,536.461016,1.488616,1.185343,119.3461659621802,0.04588828606658447,,
67,6.7,0.029958,549.84786,1.504791,1.346832,122.32432925472746,0.046386898890258946,163.12209399999995,
68,6.8,0.032589,564.947125,1.566151,1.475784,125.68345383759733,0.048278390875462394,,
69,6.9,0.041349,584.485869,1.598402,1.578942,130.03022669632924,0.0492725647348952,,
70,7.0,0.040759,602.911077,1.633241,1.556909,134.12927185761956,0.050346516646115905,,
71,7.1,0.04314,621.711612,1.667698,1.476971,138.31181579532813,0.05140869297163995,,
72,7.2,0.047893,638.998844,1.702893,1.451885,142.1576961067853,0.05249361898890259,,630.60902425
73,7.3,0.040348,658.814564,1.738496,1.506834,146.56608765294772,0.05359112207151665,,
74,7.4,0.050709,678.79616,1.799606,1.639627,151.01138153503894,0.055474907521578305,,
75,7.5,0.048014,696.410155,1.817394,1.625913,154.92995661846496,0.05602324290998767,,
76,7.6,0.050165,710.353926,1.825199,1.409868,158.0320191323693,0.05626384093711468,,
77,7.7,0.04975,720.534134,1.86027,1.479643,160.29680400444937,0.057344944512946985,164.46877325000017,
78,7.8,0.052343,734.507316,1.900911,1.399253,163.40540956618463,0.0585977496917386,,
79,7.9,0.058716,754.764647,1.920522,1.346172,167.91204605116795,0.05920228113440198,,
80,8.0,0.066747,772.308058,1.985113,1.459192,171.81491835372634,0.06119337237977805,,
81,8.1,0.066808,789.446025,2.007219,1.41713,175.6275917686318,0.0618748150431566,,
82,8.2,0.064743,801.183726,2.028313,1.367036,178.23887119021134,0.06252506165228114,,795.0777975
83,8.3,0.068101,817.373381,2.049269,1.296666,181.84057419354838,0.0631710542540074,,
84,8.4,0.075837,828.857457,2.065548,1.11757,184.395429810901,0.06367287299630087,,
85,8.5,0.059684,843.438063,2.092551,1.13579,187.63916863181313,0.064505271270037,,
86,8.6,0.074323,855.149026,2.110453,1.195993,190.2444996662959,0.06505712083847104,,
87,8.7,0.073166,863.679793,2.120229,1.089718,192.1423343715239,0.06535847718865599,121.5522575,
88,8.8,0.079387,875.024516,2.14526,1.02014,194.66618820912123,0.06613008631319359,,
89,8.9,0.080284,883.639596,2.158475,0.994871,196.58277997775306,0.06653745376078916,,
90,9.0,0.080073,892.911089,2.183162,0.836763,198.64540355951056,0.06729845869297164,,
91,9.1,0.077609,911.720125,2.202568,0.81574,202.82983870967743,0.06789667077681874,,
92,9.2,0.086265,926.858968,2.253688,0.933579,206.1977681868743,0.06947250308261406,,916.630055
93,9.3,0.087173,935.030038,2.280725,0.964587,208.0155813125695,0.07030594944512947,,
94,9.4,0.091024,948.962908,2.297486,0.954835,211.11521868743046,0.07082262638717633,,
95,9.5,0.092636,959.731794,2.355964,1.107051,213.510966407119,0.07262527743526512,,
96,9.6,0.112121,969.13759,2.357364,1.021536,215.60346829810902,0.07266843403205919,,
97,9.7,0.10962,981.646654,2.398004,1.158297,218.38635239154615,0.07392120838471024,101.1951049999999,
98,9.8,0.113535,995.161314,2.419412,1.144133,221.39295083426026,0.07458113440197288,,
99,9.9,0.120592,1001.62478,2.442973,1.186273,222.8308743047831,0.0753074290998767,,
100,10.0,0.127028,1007.516159,2.456682,1.138002,224.14152591768632,0.07573002466091246,,
101,10.1,0.131202,1014.13425,2.48879,1.19779,225.61384872080086,0.07671979038224415,,
102,10.2,0.150841,1020.640978,2.50176,1.037387,227.06139666295886,0.07711960542540075,,1017.8251599999999
103,10.3,0.150837,1029.009253,2.520604,1.00619,228.92308186874303,0.07770049321824908,,
104,10.4,0.164602,1036.891765,2.56043,1.099352,230.6766996662959,0.07892817509247843,,
105,10.5,0.177957,1042.895233,2.580879,0.936754,232.01228765294772,0.07955853884093712,,
106,10.6,0.19563,1050.344959,2.626237,1.116586,233.66962380422692,0.08095675092478423,,
107,10.7,0.202485,1053.330039,2.645102,1.038406,234.33371279199108,0.08153828606658448,38.319501500000115,
108,10.8,0.224424,1057.009331,2.6574,0.991895,235.1522427141268,0.08191738594327991,,
109,10.9,0.22762,1062.739879,2.677803,0.978372,236.42711434927696,0.0825463316892725,,
110,11.0,0.247994,1068.897215,2.708489,1.052002,237.79693325917685,0.08349226263871765,,
111,11.1,0.251871,1064.245367,2.736799,1.033681,236.76203937708564,0.0843649506781751,,
112,11.2,0.260951,1049.65417,2.753602,1.046768,233.51594438264738,0.08488292231812578,,1056.1446615
113,11.3,0.257141,1041.781894,2.782483,1.089744,231.76460378197996,0.08577321208384711,,
114,11.4,0.261211,1040.948206,2.783528,0.942886,231.5791337041157,0.08580542540073983,,
115,11.5,0.256175,1038.467866,2.779232,0.830001,231.02733392658507,0.08567299630086314,,
116,11.6,0.261489,1038.188958,2.785742,0.675817,230.9652854282536,0.08587367447595562,,
117,11.7,0.255922,1036.851562,2.796117,0.630113,230.66775572858734,0.08619349568434033,-20.22735650000004,
118,11.8,0.259643,1036.910172,2.773721,0.481243,230.68079466073416,0.0855031134401973,,
119,11.9,0.25956,1037.858533,2.799175,0.503799,230.89177597330368,0.08628776202219482,,
120,12.0,0.257343,1036.029714,2.794453,0.366224,230.48491968854282,0.0861422009864365,,
121,12.1,0.262243,1035.817165,2.783511,0.202093,230.43763403781978,0.08580490135635019,,
122,12.2,0.257117,1034.929597,2.795543,0.181383,230.24017730812014,0.08617580147965476,,1035.917305
123,12.3,0.256332,1036.892744,2.793558,0.049899,230.67691746384872,0.08611461159062886,,
124,12.4,0.266366,1034.804369,2.78241,-0.006337,230.21231790878753,0.0857709617755857,,
125,12.5,0.26912,1033.355391,2.781373,0.008436,229.88996462736375,0.08573899506781751,,
126,12.6,0.268821,1033.497706,2.79497,0.033273,229.9216253615128,0.08615813810110975,,
127,12.7,0.270992,1030.437571,2.796827,0.001693,229.2408389321468,0.08621538224414303,-4.738023249999969,
128,12.8,0.273881,1032.924805,2.785386,0.051418,229.79417241379312,0.0858627003699137,,
129,12.9,0.314983,1031.635473,2.795655,-0.009153,229.50733548387097,0.08617925400739827,,
130,13.0,0.297589,1032.634407,2.787105,-0.029434,229.72956774193548,0.0859156905055487,,
131,13.1,0.292262,1029.73972,2.799516,0.060801,229.08558843159065,0.08629827373612825,,
132,13.2,0.29775,1031.319905,2.792967,-0.01223,229.43713125695217,0.08609639334155364,,1031.17928175
133,13.3,0.286484,1031.023095,2.80295,0.047378,229.3711001112347,0.08640413070283601,,
134,13.4,0.313784,1029.151143,2.790069,0.025091,228.95464805339267,0.0860070591861899,,
135,13.5,0.321857,1028.056301,2.799096,0.078731,228.71107919911015,0.08628532675709003,,
136,13.6,0.297673,1028.242942,2.807484,0.044169,228.75260111234707,0.0865438964241677,,
137,13.7,0.304353,1030.168542,2.781632,-0.058268,229.1809882091212,0.08574697903822442,-2.5886304999999084,
138,13.8,0.31973,1029.97481,2.773631,-0.04626,229.13788876529475,0.08550033908754624,,
139,13.9,0.33708,1030.34325,2.792578,-0.009985,229.21985539488318,0.086084401972873,,
140,14.0,0.333217,1028.322812,2.790576,0.011996,228.7703697441602,0.08602268803945747,,
141,14.1,0.343815,1030.244589,2.794475,-0.021686,229.19790634037818,0.08614287916152898,,
142,14.2,0.353911,1028.221104,2.803888,0.038856,228.7477428253615,0.08643304562268805,,1028.59065125
143,14.3,0.320721,1027.5741,2.810249,0.033351,228.6038042269188,0.08662913070283602,,
144,14.4,0.294806,1027.500068,2.795584,0.023891,228.58733437152392,0.086177065351418,,
145,14.5,0.2637,1027.88195,2.796978,-0.010045,228.67229143492767,0.0862200369913687,,
146,14.6,0.258659,1026.038822,2.798193,-0.031547,228.26225183537264,0.08625749075215783,,
147,14.7,0.332781,1027.584186,2.794895,0.046325,228.60604805339267,0.0861558261405672,-2.1291535000000295,
